,CDMO
% Above Low,0.3018
% Held by Institutions,1.0615999999999999
52-Wk Range,['11.30 - 32.36']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,400.0
B/A Ratio,2.75
B/A Size,1100x400
Beta,1.8
Bid,13.45
Bid Size,1100.0
Closing Price,14.71
Day Change $,0.38
Day Change %,0.0265
Day High,14.87
Day Low,14.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.39
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,914.5M
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,14.33
Short Interest,0.08070000000000001
Today's Open,14.22
Volume,241846.0
Volume 10-day Avg,446880.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.1999999999999997
Growth 2yr High Est,3.0
Growth 2yr Consensus Est,2.0999999999999996
Growth 5yr Low Est,1.1999999999999997
Growth 5yr High Est,3.0
Growth 5yr Consensus Est,2.0999999999999996
Growth 5yr Actual/Est,0.7599206349206348
Growth 3yr Historic,0.3194444444444444
Price/Earnings (TTM),10.59119
Price/Sales (TTM),7.28469
Price/Book (MRQ),5.10867
Price/Cash Flow (TTM),7.14423
5yr Low,2.24
5yr High,34.51
5yr Avg Return,0.38614999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.15721569999999999
Dividend Growth 5yr,
Short Int Current Month,4985778.0
Short Int Prev Month,4855155.0
Short Int Pct of Float,0.08074350000000001
Days to Cover,7.70864
Float,61.26177
Shares Outstanding,62.16745
Institutions Holding Shares,253.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.59
"PEG Ratio (TTM, GAAP)",0.71
Gross Profit Margin (TTM),0.2738
Operating Profit Margin (TTM),0.0894
Net Profit Margin (TTM),0.9793000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9806
EPS Growth (TTM),14.0329
Revenue Growth (MRQ),0.17500000000000002
Revenue Growth (TTM),0.2401
Return On Equity (TTM),1.0994
Return On Assets (TTM),0.3406
Return On Investment (TTM),0.435
Revenue Per Employee (TTM),391075.0
Total Debt/Total Capital (MRQ),0.4429
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),1.61
Interest Coverage (MRQ),5.84
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-12-09 00:00:00
marketEdge opinion since,
