,CDMO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.59,471.78,Valuation,0.022446903217601424
Price/Sales (TTM),7.28,45.03,Valuation,0.16166999777925828
Price/Book (MRQ),5.11,12.61,Valuation,0.4052339413164156
"PEG Ratio (TTM, GAAP)",0.71,173.15,Valuation,0.0041004909038406005
Gross Profit Margin (TTM),0.2738,0.5874,Profitability,0.4661218930881852
Operating Profit Margin (TTM),0.0894,-4.7459,Profitability,-0.01883731220632546
Net Profit Margin (TTM),0.9793000000000001,-4.5467,Profitability,-0.2153869839663932
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.9806,-0.0014000000000000002,Gowth rates,700.4285714285713
EPS Growth (TTM),14.0329,0.027200000000000002,Gowth rates,515.9154411764705
Revenue Growth (MRQ),0.17500000000000002,1.3963999999999999,Gowth rates,0.1253222572328846
Revenue Growth (TTM),0.2401,0.9747,Gowth rates,0.24633220478095824
Return On Equity (TTM),1.0994,0.1967,Effectiveness,5.58922216573462
Return On Assets (TTM),0.3406,0.0016,Effectiveness,212.875
Return On Investment (TTM),0.435,0.0219,Effectiveness,19.863013698630137
Revenue Per Employee (TTM),391075.0,1476201.0,Effectiveness,0.2649198855711383
Total Debt/Total Capital (MRQ),0.4429,0.4675,Financial strength,0.947379679144385
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,0.0036,Financial strength,-1.0833333333333335
Quick Ratio (MRQ),1.61,2.06,Financial strength,0.7815533980582524
Interest Coverage (MRQ),5.84,2.69,Financial strength,2.171003717472119
