,SO
% Above Low,0.0817
% Held by Institutions,0.62
52-Wk Range,['60.71 - 80.57']
Annual Dividend $,2.72
Annual Dividend %,0.0407
Ask,65.67
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.5
Bid,65.66
Bid Size,600.0
Day Change $,-1.24
Day Change %,-0.018500000000000003
Day High,66.77
Day Low,65.61
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",3.15
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.226
Last (size),70.0
Last (time),2:51p ET 11/28/22
Market Cap,71.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.25
Prev Close,66.91
Price,65.67
Short Interest,0.0079
Today's Open,66.41
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.06666666666666665
Growth 1yr High Est,0.0674486803519061
Growth 1yr Consensus Est,0.06705767350928638
Growth 2yr Low Est,0.048958333333333326
Growth 2yr High Est,0.06943862589023875
Growth 2yr Consensus Est,0.05919847961178604
Growth 5yr Low Est,0.04662113496185688
Growth 5yr High Est,0.05665936414270634
Growth 5yr Consensus Est,0.05164024955228161
Growth 5yr Actual/Est,0.0492932111333822
Growth 3yr Historic,0.023561711600296797
Price/Earnings (TTM),21.24862
Price/Sales (TTM),2.60163
Price/Book (MRQ),2.33173
Price/Cash Flow (TTM),9.86766
5yr Low,41.96
5yr High,80.57
5yr Avg Return,0.05748333333333334
EPS Growth 5yr,-0.0259408
Revenue Growth 5yr,0.0304291
Dividend Growth 5yr,0.0334558
Short Int Current Month,8576041.0
Short Int Prev Month,9994102.0
Short Int Pct of Float,0.0078941
Days to Cover,1.97345
Float,1086.794
Shares Outstanding,1088.673
Institutions Holding Shares,1960.0
FCF Growth 5yr,-0.7903536515946703
"Price/Earnings (TTM, GAAP)",21.25
"PEG Ratio (TTM, GAAP)",3.18
Gross Profit Margin (TTM),0.36869999999999997
Operating Profit Margin (TTM),0.17500000000000002
Net Profit Margin (TTM),0.1173
Annual Dividend Yield,0.04070000000000001
Dividend Change %,0.0315
"Dividend Growth Rate, 3 Years",0.0325
EPS Growth (MRQ),0.3102
EPS Growth (TTM),0.122
Revenue Growth (MRQ),0.16260000000000002
Revenue Growth (TTM),0.2464
Return On Equity (TTM),0.1133
Return On Assets (TTM),0.025099999999999997
Return On Investment (TTM),0.028700000000000003
Revenue Per Employee (TTM),1025604.0
Total Debt/Total Capital (MRQ),0.6066
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),4.35
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-02-17 00:00:00
theStreet since,2018-06-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-17 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
