,CRL
% Above Low,0.3394
% Held by Institutions,0.9817
52-Wk Range,['181.36 - 385.11']
Annual Dividend $,
Annual Dividend %,
Ask,440.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,228.08
Bid Size,100.0
Closing Price,242.92
Day Change $,1.84
Day Change %,0.0076
Day High,243.27
Day Low,239.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.49
Ex-dividend Date,No dividend
Historical Volatility,0.44799999999999995
Last (size),1300.0
Last (time),5:00p ET 11/25/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.61
Prev Close,241.08
Short Interest,0.0192
Today's Open,241.03
Volume,124509.0
Volume 10-day Avg,581024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.06164383561643816
Growth 1yr High Est,0.06013579049466533
Growth 1yr Consensus Est,0.060889813055551745
Growth 2yr Low Est,0.039577678176882625
Growth 2yr High Est,0.08038811482647268
Growth 2yr Consensus Est,0.05998289650167765
Growth 5yr Low Est,0.1467149456448426
Growth 5yr High Est,0.16530463524120553
Growth 5yr Consensus Est,0.15600979044302407
Growth 5yr Actual/Est,0.14578351912928483
Growth 3yr Historic,0.11934911696813849
Price/Earnings (TTM),28.6107
Price/Sales (TTM),3.2686
Price/Book (MRQ),4.70488
Price/Cash Flow (TTM),16.77233
5yr Low,95.58
5yr High,460.21
5yr Avg Return,0.20551666666666665
EPS Growth 5yr,0.1873845
Revenue Growth 5yr,0.160563
Dividend Growth 5yr,
Short Int Current Month,965254.0
Short Int Prev Month,1195092.0
Short Int Pct of Float,0.0191672
Days to Cover,1.27819
Float,50.36461
Shares Outstanding,50.87866
Institutions Holding Shares,816.0
FCF Growth 5yr,0.8623185344896193
"Price/Earnings (TTM, GAAP)",28.61
"PEG Ratio (TTM, GAAP)",2.78
Gross Profit Margin (TTM),0.37310000000000004
Operating Profit Margin (TTM),0.18050000000000002
Net Profit Margin (TTM),0.11720000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.11750000000000001
EPS Growth (TTM),0.0993
Revenue Growth (MRQ),0.0165
Revenue Growth (TTM),0.1037
Return On Equity (TTM),0.1727
Return On Assets (TTM),0.061399999999999996
Return On Investment (TTM),0.0717
Revenue Per Employee (TTM),203294.0
Total Debt/Total Capital (MRQ),0.5238
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),13.42
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-02-01 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-04-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2018-05-11 00:00:00
