,CRL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.61,83.95,Valuation,0.3407980941036331
Price/Sales (TTM),3.27,6.06,Valuation,0.5396039603960396
Price/Book (MRQ),4.7,6.22,Valuation,0.7556270096463024
"PEG Ratio (TTM, GAAP)",2.78,3.53,Valuation,0.7875354107648725
Gross Profit Margin (TTM),0.37310000000000004,0.5095000000000001,Profitability,0.7322865554465162
Operating Profit Margin (TTM),0.18050000000000002,0.0332,Profitability,5.436746987951808
Net Profit Margin (TTM),0.11720000000000001,-0.0454,Profitability,-2.5814977973568283
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.11750000000000001,-0.5094,Gowth rates,0.2306635257165293
EPS Growth (TTM),0.0993,-0.2377,Gowth rates,-0.417753470761464
Revenue Growth (MRQ),0.0165,0.1691,Gowth rates,0.09757539917208753
Revenue Growth (TTM),0.1037,0.1222,Gowth rates,0.8486088379705401
Return On Equity (TTM),0.1727,1.1042,Effectiveness,0.15640282557507695
Return On Assets (TTM),0.061399999999999996,0.0644,Effectiveness,0.953416149068323
Return On Investment (TTM),0.0717,0.0802,Effectiveness,0.8940149625935163
Revenue Per Employee (TTM),203294.0,335561.0,Effectiveness,0.6058332166133729
Total Debt/Total Capital (MRQ),0.5238,0.3893,Financial strength,1.3454919085538146
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0252,Financial strength,-0.011904761904761904
Quick Ratio (MRQ),1.14,1.51,Financial strength,0.7549668874172185
Interest Coverage (MRQ),13.42,33.07,Financial strength,0.4058058663441185
