,PPC
% Above Low,0.2837
% Held by Institutions,0.16879999999999998
52-Wk Range,['20.23 - 34.66']
Annual Dividend $,
Annual Dividend %,
Ask,25.98
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.9
Bid,25.96
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0042
Day High,26.01
Day Low,25.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.88
Ex-dividend Date,No dividend
Historical Volatility,0.35000000000000003
Last (size),100.0
Last (time),11:21a ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.72
Prev Close,26.08
Price,25.97
Short Interest,0.0621
Today's Open,25.95
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.1741573033707864
Growth 1yr High Est,0.9672131147540983
Growth 1yr Consensus Est,1.0706852090624424
Growth 2yr Low Est,0.33901663618151723
Growth 2yr High Est,0.35131489071038247
Growth 2yr Consensus Est,0.34516576344594985
Growth 5yr Low Est,0.33901663618151723
Growth 5yr High Est,0.35131489071038247
Growth 5yr Consensus Est,0.34516576344594985
Growth 5yr Actual/Est,0.3245469156150827
Growth 3yr Historic,0.21623093681917202
Price/Earnings (TTM),6.72108
Price/Sales (TTM),0.35484
Price/Book (MRQ),2.26088
Price/Cash Flow (TTM),4.58346
5yr Low,14.06
5yr High,38.39
5yr Avg Return,0.0764
EPS Growth 5yr,-0.4071275
Revenue Growth 5yr,0.08388
Dividend Growth 5yr,
Short Int Current Month,2470831.0
Short Int Prev Month,2067021.0
Short Int Pct of Float,0.0621318
Days to Cover,2.8211
Float,40.63413
Shares Outstanding,236.4694
Institutions Holding Shares,307.0
FCF Growth 5yr,-0.6821501550811896
"Price/Earnings (TTM, GAAP)",6.72
"PEG Ratio (TTM, GAAP)",1.14
Gross Profit Margin (TTM),0.11900000000000001
Operating Profit Margin (TTM),0.0753
Net Profit Margin (TTM),0.054000000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2813
EPS Growth (TTM),161.8094
Revenue Growth (MRQ),-0.0351
Revenue Growth (TTM),0.2543
Return On Equity (TTM),0.3517
Return On Assets (TTM),0.10470000000000002
Return On Investment (TTM),0.1442
Revenue Per Employee (TTM),292589.0
Total Debt/Total Capital (MRQ),0.5395000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.8
Interest Coverage (MRQ),9.75
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-04-29 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
