,ETSY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),6.11,7.6,Valuation,0.8039473684210527
Price/Book (MRQ),,10.0,Valuation,
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.7061000000000001,0.4335,Profitability,1.6288350634371398
Operating Profit Margin (TTM),-0.26480000000000004,0.0117,Profitability,-22.632478632478634
Net Profit Margin (TTM),-0.2615,-0.0141,Profitability,18.546099290780145
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),-15.8626,-0.26239999999999997,Gowth rates,60.45198170731708
EPS Growth (TTM),-2.6008,-0.6279,Gowth rates,4.142060837713012
Revenue Growth (MRQ),0.016,0.1585,Gowth rates,0.10094637223974763
Revenue Growth (TTM),0.1107,0.12369999999999999,Gowth rates,0.8949070331447051
Return On Equity (TTM),,0.0635,Effectiveness,
Return On Assets (TTM),-0.2175,-0.1317,Effectiveness,1.6514806378132116
Return On Investment (TTM),-0.25980000000000003,0.0197,Effectiveness,-13.187817258883252
Revenue Per Employee (TTM),1030811.0,354479.0,Effectiveness,2.907960697248638
Total Debt/Total Capital (MRQ),1.3399,0.39840000000000003,Financial strength,3.36320281124498
Change in Debt/Total Capital Quarter over Quarter,0.0047,0.4575,Financial strength,0.010273224043715848
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),,-0.6,Financial strength,
