,ETSY
% Above Low,0.7954000000000001
% Held by Institutions,0.98
52-Wk Range,['67.01 - 307.75']
Annual Dividend $,
Annual Dividend %,
Ask,120.31
Ask Size,1900.0
B/A Ratio,0.42105263157894735
B/A Size,800x1900
Beta,1.7
Bid,118.92
Bid Size,800.0
Closing Price,120.31
Day Change $,0.32
Day Change %,0.0027
Day High,120.61
Day Low,117.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.45
Ex-dividend Date,No dividend
Historical Volatility,0.77
Last (size),59.0
Last (time),12:59p ET 11/25/22
Market Cap,15.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,119.99
Short Interest,0.1036
Today's Open,118.39
Volume,785031.0
Volume 10-day Avg,3374259.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.3288135593220338
Growth 2yr High Est,0.5625
Growth 2yr Consensus Est,-0.3831567796610169
Growth 5yr Low Est,-1.3288135593220338
Growth 5yr High Est,0.5625
Growth 5yr Consensus Est,-0.3831567796610169
Growth 5yr Actual/Est,-0.29352746211071956
Growth 3yr Historic,0.7008535511641557
Price/Earnings (TTM),
Price/Sales (TTM),6.10723
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,16.13
5yr High,307.75
5yr Avg Return,0.7058666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4487299
Dividend Growth 5yr,
Short Int Current Month,12848021.0
Short Int Prev Month,12206261.0
Short Int Pct of Float,0.10362249999999999
Days to Cover,2.61791
Float,124.7514
Shares Outstanding,125.6883
Institutions Holding Shares,1020.0
FCF Growth 5yr,0.8396561196825996
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7061000000000001
Operating Profit Margin (TTM),-0.26480000000000004
Net Profit Margin (TTM),-0.2615
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-15.8626
EPS Growth (TTM),-2.6008
Revenue Growth (MRQ),0.016
Revenue Growth (TTM),0.1107
Return On Equity (TTM),
Return On Assets (TTM),-0.2175
Return On Investment (TTM),-0.25980000000000003
Revenue Per Employee (TTM),1030811.0
Total Debt/Total Capital (MRQ),1.3399
Change in Debt/Total Capital Quarter over Quarter,0.0047
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-03 00:00:00
researchTeam since,2022-11-03 00:00:00
cfra since,2020-10-13 00:00:00
ford since,2021-05-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
