,FLR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,41.93,Valuation,
Price/Sales (TTM),0.37,1.42,Valuation,0.2605633802816901
Price/Book (MRQ),2.94,3.73,Valuation,0.7882037533512064
"PEG Ratio (TTM, GAAP)",,0.71,Valuation,
Gross Profit Margin (TTM),0.0285,0.0432,Profitability,0.6597222222222222
Operating Profit Margin (TTM),0.0029,0.0655,Profitability,0.04427480916030534
Net Profit Margin (TTM),-0.003,0.041299999999999996,Profitability,-0.07263922518159807
Annual Dividend Yield,,0.0045000000000000005,Dividend,
Dividend Change %,,0.127,Dividend,
"Dividend Growth Rate, 3 Years",,0.0315,Dividend,
EPS Growth (MRQ),-0.7458,0.0989,Gowth rates,-7.5409504550050555
EPS Growth (TTM),0.7009000000000001,0.5874,Gowth rates,1.193224378617637
Revenue Growth (MRQ),0.0949,0.233,Gowth rates,0.4072961373390558
Revenue Growth (TTM),-0.0444,0.2229,Gowth rates,-0.19919246298788695
Return On Equity (TTM),-0.0398,0.1057,Effectiveness,-0.37653736991485337
Return On Assets (TTM),-0.005600000000000001,0.0404,Effectiveness,-0.13861386138613863
Return On Investment (TTM),-0.0118,0.0584,Effectiveness,-0.20205479452054795
Revenue Per Employee (TTM),325018.0,447825.0,Effectiveness,0.7257701110925027
Total Debt/Total Capital (MRQ),0.3736,0.40990000000000004,Financial strength,0.9114418150768478
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.004,Financial strength,0.075
Quick Ratio (MRQ),,1.07,Financial strength,
Interest Coverage (MRQ),,12.43,Financial strength,
