,FLR
% Below High,0.014199999999999999
% Held by Institutions,0.9559000000000001
52-Wk Range,['19.80 - 34.62']
Annual Dividend $,
Annual Dividend %,
Ask,38.8
Ask Size,100.0
B/A Ratio,40.0
B/A Size,4000x100
Beta,2.4
Bid,26.0
Bid Size,4000.0
Closing Price,34.13
Day Change $,0.37
Day Change %,0.011000000000000001
Day High,34.27
Day Low,33.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.53
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,33.76
Short Interest,0.1191
Today's Open,33.73
Volume,453084.0
Volume 10-day Avg,1312001.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.16470588235294115
Growth 1yr High Est,0.1578947368421053
Growth 1yr Consensus Est,-0.0034055727554179183
Growth 2yr Low Est,0.4176470588235294
Growth 2yr High Est,0.5289473684210525
Growth 2yr Consensus Est,0.47329721362229094
Growth 5yr Low Est,-0.05843885889042866
Growth 5yr High Est,-0.010873167443689324
Growth 5yr Consensus Est,-0.034656013167058936
Growth 5yr Actual/Est,-0.3567630228114551
Growth 3yr Historic,-0.5595555760029445
Price/Earnings (TTM),
Price/Sales (TTM),0.36767
Price/Book (MRQ),2.93896
Price/Cash Flow (TTM),
5yr Low,2.85
5yr High,62.09
5yr Avg Return,0.010883333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.0816446
Dividend Growth 5yr,
Short Int Current Month,16751148.0
Short Int Prev Month,17508653.0
Short Int Pct of Float,0.1190775
Days to Cover,7.39018
Float,140.9034
Shares Outstanding,142.0883
Institutions Holding Shares,404.0
FCF Growth 5yr,0.7027473290666632
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0285
Operating Profit Margin (TTM),0.0029
Net Profit Margin (TTM),-0.003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7458
EPS Growth (TTM),0.7009000000000001
Revenue Growth (MRQ),0.0949
Revenue Growth (TTM),-0.0444
Return On Equity (TTM),-0.0398
Return On Assets (TTM),-0.005600000000000001
Return On Investment (TTM),-0.0118
Revenue Per Employee (TTM),325018.0
Total Debt/Total Capital (MRQ),0.3736
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-11-10 00:00:00
researchTeam since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-02-22 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
