,KEY
% Above Low,0.23399999999999999
% Held by Institutions,0.8288
52-Wk Range,['15.26 - 27.17']
Annual Dividend $,0.82
Annual Dividend %,0.0431
Ask,19.08
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,18.99
Bid Size,200.0
Closing Price,18.83
Day Change $,-0.095
Day Change %,-0.005
Day High,19.09
Day Low,18.98
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.359
Last (size),562.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.72
Prev Close,18.92
Short Interest,0.0192
Today's Open,19.06
Volume,2839933.0
Volume 10-day Avg,10788994.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.17004048582995968
Growth 1yr High Est,-0.1576923076923077
Growth 1yr Consensus Est,-0.16386639676113368
Growth 2yr Low Est,-0.1825812185247359
Growth 2yr High Est,0.026176677204074517
Growth 2yr Consensus Est,-0.0782022706603307
Growth 5yr Low Est,0.03754374656585294
Growth 5yr High Est,0.13240652042021908
Growth 5yr Consensus Est,0.08497513349303601
Growth 5yr Actual/Est,0.18373902131042744
Growth 3yr Historic,0.21014077785731328
Price/Earnings (TTM),8.71548
Price/Sales (TTM),2.43344
Price/Book (MRQ),1.6454
Price/Cash Flow (TTM),7.80071
5yr Low,7.45
5yr High,27.17
5yr Avg Return,0.034199999999999994
EPS Growth 5yr,0.2667996
Revenue Growth 5yr,0.0564165
Dividend Growth 5yr,0.17844539999999998
Short Int Current Month,17846403.0
Short Int Prev Month,18122557.0
Short Int Pct of Float,0.0192069
Days to Cover,1.60385
Float,929.5906
Shares Outstanding,932.9696
Institutions Holding Shares,1094.0
FCF Growth 5yr,0.8049449711108027
"Price/Earnings (TTM, GAAP)",8.72
"PEG Ratio (TTM, GAAP)",12.1
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36060000000000003
Net Profit Margin (TTM),0.2939
Annual Dividend Yield,0.0431
Dividend Change %,0.013500000000000002
"Dividend Growth Rate, 3 Years",0.099
EPS Growth (MRQ),0.0172
EPS Growth (TTM),-0.1394
Revenue Growth (MRQ),0.2104
Revenue Growth (TTM),0.09820000000000001
Return On Equity (TTM),0.1544
Return On Assets (TTM),0.011399999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0088
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-11 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2022-05-27 00:00:00
marketEdge opinion since,
