,DSEY
% Above Low,0.27340000000000003
% Held by Institutions,0.9611
52-Wk Range,['3.95 - 14.28']
Annual Dividend $,
Annual Dividend %,
Ask,6.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,2.02
Bid Size,200.0
Closing Price,5.03
Day Change $,0.0
Day Change %,0.0
Day High,5.07
Day Low,4.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.626
Last (size),37.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.03
Short Interest,0.0325
Today's Open,5.02
Volume,83780.0
Volume 10-day Avg,855839.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.30952380952380953
Growth 1yr High Est,-0.35185185185185197
Growth 1yr Consensus Est,-0.33068783068783075
Growth 2yr Low Est,-0.08579638752052543
Growth 2yr High Est,0.10978835978835982
Growth 2yr Consensus Est,0.011995986133917197
Growth 5yr Low Est,-0.08579638752052543
Growth 5yr High Est,0.10978835978835982
Growth 5yr Consensus Est,0.011995986133917197
Growth 5yr Actual/Est,-0.008374689826302795
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.59609
Price/Book (MRQ),2.44905
Price/Cash Flow (TTM),42.2619
5yr Low,3.95
5yr High,18.61
5yr Avg Return,-0.3195
Short Int Current Month,2510771.0
Short Int Prev Month,3536111.0
Short Int Pct of Float,0.0325215
Days to Cover,2.31367
Float,313.7645
Shares Outstanding,324.3159
Institutions Holding Shares,139.0
FCF Growth 5yr,0.986582712389164
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3498
Operating Profit Margin (TTM),-0.0201
Net Profit Margin (TTM),-0.053200000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0659
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0368
Revenue Growth (TTM),
Return On Equity (TTM),-0.2356
Return On Assets (TTM),-0.0353
Return On Investment (TTM),-0.044800000000000006
Revenue Per Employee (TTM),314563.0
Total Debt/Total Capital (MRQ),0.7490000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),1.71
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-03 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2022-06-03 00:00:00
newConstructs since,
marketEdge opinion since,
