,NOC
% Below High,0.051100000000000007
% Held by Institutions,0.8271
52-Wk Range,['345.91 - 556.27']
Annual Dividend $,6.92
Annual Dividend %,0.0131
Ask,550.0
Ask Size,700.0
B/A Ratio,1.0
B/A Size,700x700
Beta,0.6
Bid,508.27
Bid Size,700.0
Change Since Close,-0.02| |(0.00%)
Closing Price,527.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",35.18
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.313
Last (size),3.0
Last (time),5:00p ET 11/25/22
Last Trade,527.81
Market Cap,81.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.0
Prev Close,527.83
Short Interest,0.012199999999999999
Today's Open,
Volume,10.0
Volume 10-day Avg,1160301.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.03543307086614167
Growth 1yr High Est,-0.049523809523809526
Growth 1yr Consensus Est,-0.0424784401949756
Growth 2yr Low Est,-0.09424714767796877
Growth 2yr High Est,0.01932627159080058
Growth 2yr Consensus Est,-0.03746043804358409
Growth 5yr Low Est,0.013557036905016834
Growth 5yr High Est,0.0741011994368927
Growth 5yr Consensus Est,0.043829118170954764
Growth 5yr Actual/Est,0.019437008147562357
Growth 3yr Historic,0.04969025141716826
Price/Earnings (TTM),15.00179
Price/Sales (TTM),2.30741
Price/Book (MRQ),5.83341
Price/Cash Flow (TTM),11.91719
5yr Low,223.63
5yr High,556.27
5yr Avg Return,0.12348333333333335
EPS Growth 5yr,0.30921869999999996
Revenue Growth 5yr,0.07619959999999999
Dividend Growth 5yr,0.1197022
Short Int Current Month,1877676.0
Short Int Prev Month,2599420.0
Short Int Pct of Float,0.0122305
Days to Cover,1.42517
Float,153.5739
Shares Outstanding,153.9122
Institutions Holding Shares,1654.0
FCF Growth 5yr,-0.5277925645467746
"Price/Earnings (TTM, GAAP)",15.0
"PEG Ratio (TTM, GAAP)",5.0
Gross Profit Margin (TTM),0.2045
Operating Profit Margin (TTM),0.0976
Net Profit Margin (TTM),0.157
Annual Dividend Yield,0.0131
Dividend Change %,0.0864
"Dividend Growth Rate, 3 Years",0.0944
EPS Growth (MRQ),-0.028399999999999998
EPS Growth (TTM),0.23690000000000003
Revenue Growth (MRQ),0.0193
Revenue Growth (TTM),-0.0546
Return On Equity (TTM),0.43579999999999997
Return On Assets (TTM),0.12990000000000002
Return On Investment (TTM),0.16890000000000002
Revenue Per Employee (TTM),400091.0
Total Debt/Total Capital (MRQ),0.48
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),6.92
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-08-11 00:00:00
cfra since,2022-03-08 00:00:00
ford since,2022-08-05 00:00:00
marketEdge opinion since,
