,PANW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),8.98,9.39,Valuation,0.9563365282215123
Price/Book (MRQ),102.81,12.63,Valuation,8.140142517814727
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6906,0.7206,Profitability,0.958368026644463
Operating Profit Margin (TTM),-0.015600000000000001,0.2172,Profitability,-0.0718232044198895
Net Profit Margin (TTM),-0.0246,0.1553,Profitability,-0.15840309079201545
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),4.3388,-0.0752,Gowth rates,-57.6968085106383
EPS Growth (TTM),0.7188,-0.2824,Gowth rates,-2.545325779036827
Revenue Growth (MRQ),0.0083,0.15560000000000002,Gowth rates,0.05334190231362467
Revenue Growth (TTM),0.27649999999999997,0.1906,Gowth rates,1.4506820566631689
Return On Equity (TTM),-0.2793,0.2189,Effectiveness,-1.2759250799451805
Return On Assets (TTM),-0.0125,0.10740000000000001,Effectiveness,-0.11638733705772812
Return On Investment (TTM),-0.0376,0.1387,Effectiveness,-0.2710886806056237
Revenue Per Employee (TTM),463140.0,667721.0,Effectiveness,0.6936130509599069
Total Debt/Total Capital (MRQ),0.8787,0.39659999999999995,Financial strength,2.215582450832073
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,0.0004,Financial strength,-4.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
