,PANW
% Above Low,0.23010000000000003
% Held by Institutions,0.8342
52-Wk Range,['140.08 - 213.63']
Annual Dividend $,
Annual Dividend %,
Ask,172.42
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,172.18
Bid Size,200.0
Day Change $,-0.47
Day Change %,-0.0027
Day High,173.89
Day Low,171.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.49
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),34.0
Last (time),10:01a ET 11/28/22
Market Cap,52.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,172.77
Price,172.3
Short Interest,0.0692
Today's Open,172.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.5464333781965006
Growth 1yr High Est,-0.50199203187251
Growth 1yr Consensus Est,-0.5242127050345053
Growth 2yr Low Est,-0.2109021490389031
Growth 2yr High Est,-0.09766268260292155
Growth 2yr Consensus Est,-0.15428241582091232
Growth 5yr Low Est,0.018581035717266686
Growth 5yr High Est,0.0742185853018767
Growth 5yr Consensus Est,0.046399810509571676
Growth 5yr Actual/Est,0.25561060864541035
Growth 3yr Historic,0.1217342510848422
Price/Earnings (TTM),
Price/Sales (TTM),8.97949
Price/Book (MRQ),102.8118
Price/Cash Flow (TTM),370.7467
5yr Low,41.82
5yr High,213.63
5yr Avg Return,0.25535
EPS Growth 5yr,
Revenue Growth 5yr,0.2567123
Dividend Growth 5yr,
Short Int Current Month,20573923.0
Short Int Prev Month,21967330.0
Short Int Pct of Float,0.0691627
Days to Cover,3.69658
Float,297.7238
Shares Outstanding,302.3569
Institutions Holding Shares,1792.0
FCF Growth 5yr,0.13492459474070842
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6906
Operating Profit Margin (TTM),-0.015600000000000001
Net Profit Margin (TTM),-0.0246
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.3388
EPS Growth (TTM),0.7188
Revenue Growth (MRQ),0.0083
Revenue Growth (TTM),0.27649999999999997
Return On Equity (TTM),-0.2793
Return On Assets (TTM),-0.0125
Return On Investment (TTM),-0.0376
Revenue Per Employee (TTM),463140.0
Total Debt/Total Capital (MRQ),0.8787
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-11-19 00:00:00
theStreet since,2021-11-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-01 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
