,SLGN
% Below High,0.0297
% Held by Institutions,0.7048000000000001
52-Wk Range,['38.59 - 53.80']
Annual Dividend $,0.64
Annual Dividend %,0.0121
Ask,52.26
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,52.22
Bid Size,300.0
Day Change $,-0.91
Day Change %,-0.0171
Day High,53.08
Day Low,52.18
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.61
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.24600000000000002
Last (size),10.0
Last (time),2:32p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.71
Prev Close,53.11
Price,52.2
Short Interest,0.0207
Today's Open,52.71
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.1837349397590362
Growth 1yr High Est,0.18100890207715126
Growth 1yr Consensus Est,0.18237192091809373
Growth 2yr Low Est,0.09441199914160459
Growth 2yr High Est,0.14954967716922896
Growth 2yr Consensus Est,0.12198083815541677
Growth 5yr Low Est,0.1727721697089159
Growth 5yr High Est,0.20238683526059847
Growth 5yr Consensus Est,0.1875795024847572
Growth 5yr Actual/Est,0.18314511458591876
Growth 3yr Historic,0.13194444444444442
Price/Earnings (TTM),14.70613
Price/Sales (TTM),0.91414
Price/Book (MRQ),3.45701
Price/Cash Flow (TTM),8.75733
5yr Low,22.24
5yr High,53.8
5yr Avg Return,0.1272666666666667
EPS Growth 5yr,0.2047665
Revenue Growth 5yr,0.094596
Dividend Growth 5yr,0.104948
Short Int Current Month,1717028.0
Short Int Prev Month,1931701.0
Short Int Pct of Float,0.020678899999999997
Days to Cover,5.26131
Float,83.10785
Shares Outstanding,110.079
Institutions Holding Shares,339.0
FCF Growth 5yr,-0.677346491763767
"Price/Earnings (TTM, GAAP)",14.71
"PEG Ratio (TTM, GAAP)",2.57
Gross Profit Margin (TTM),0.16090000000000002
Operating Profit Margin (TTM),0.10130000000000002
Net Profit Margin (TTM),0.06269999999999999
Annual Dividend Yield,0.0121
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),0.5032
EPS Growth (TTM),0.2011
Revenue Growth (MRQ),0.27640000000000003
Revenue Growth (TTM),0.1704
Return On Equity (TTM),0.2548
Return On Assets (TTM),0.0533
Return On Investment (TTM),0.0707
Revenue Per Employee (TTM),409960.0
Total Debt/Total Capital (MRQ),0.6939000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.88
Interest Coverage (MRQ),6.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2019-02-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-28 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
