,2019,2020,2021,2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Report
high,107.34,588.84,451.77,184.91,,,,,
low,59.94,65.81,174.66,70.44,,,,,
change,0.0468,3.9029000000000003,-0.4597,-0.6119,,,,,
Date,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,,1063.0,1407.0,937.0,1096.0,Balance Sheet
Short Term Investments,,,,,4356.0,4319.0,4583.0,4069.0,Balance Sheet
Cash and Short Term Invs,,,,,5419.0,5726.0,5520.0,5165.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,385.0,443.0,471.0,542.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-25.0,-28.0,-32.0,-35.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,420.0,484.0,510.0,590.0,Balance Sheet
Other Receivables,,,,,,,17.0,18.0,Balance Sheet
"Total Receivables, Net",,,,,420.0,484.0,527.0,607.0,Balance Sheet
Prepaid Expenses,,,,,113.0,102.0,127.0,130.0,Balance Sheet
Restricted Cash - Current,,,,,10.0,7.0,6.0,10.0,Balance Sheet
Other Current Assets,,,,,222.0,245.0,235.0,230.0,Balance Sheet
"Other Curr. Assets, Total",,,,,232.0,252.0,241.0,240.0,Balance Sheet
Total Current Assets,,,,,6184.0,6564.0,6414.0,6142.0,Balance Sheet
Buildings,,,,,25.0,25.0,25.0,26.0,Balance Sheet
Machinery/Equipment,,,,,284.0,107.0,115.0,124.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,101.0,303.0,307.0,330.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,410.0,435.0,447.0,480.0,Balance Sheet
Accumulated Depreciation,,,,,-92.0,-102.0,-119.0,-138.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,318.0,333.0,328.0,342.0,Balance Sheet
"Goodwill, Net",,,,,28.0,28.0,123.0,123.0,Balance Sheet
Intangibles - Net,,,,,,24.0,52.0,59.0,Balance Sheet
Long Term Investments,,,,,368.0,343.0,358.0,355.0,Balance Sheet
Note Rcvble - Long Term,,,,,56.0,58.0,82.0,71.0,Balance Sheet
Deferred Charges,,,,,181.0,173.0,186.0,183.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,382.0,420.0,494.0,551.0,Balance Sheet
Other Long Term Assets,,,,,35.0,13.0,10.0,12.0,Balance Sheet
Total Assets,,,,,7551.0,7957.0,8048.0,7837.0,Balance Sheet
Accounts Payable,,,,,8.0,23.0,23.0,27.0,Balance Sheet
Accrued Expenses,,,,,401.0,375.0,352.0,397.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,1141.0,1286.0,1346.0,1308.0,Balance Sheet
Income Taxes Payable,,,,,,81.0,106.0,116.0,Balance Sheet
Other Current Liabilities,,,,,29.0,44.0,40.0,48.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,1171.0,1411.0,1492.0,1472.0,Balance Sheet
Total Current Liabilities,,,,,1580.0,1809.0,1867.0,1896.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,192.0,200.0,190.0,185.0,Balance Sheet
Total Liabilities,,,,,1771.0,2009.0,2057.0,2081.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,3750.0,3831.0,3831.0,3572.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,2048.0,2162.0,2208.0,2256.0,Balance Sheet
"Other Equity, Total",,,,,-18.0,-45.0,-48.0,-73.0,Balance Sheet
Total Equity,,,,,5780.0,5948.0,5990.0,5756.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,7551.0,7957.0,8048.0,7837.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,247.0,252.0,251.0,246.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,52.0,47.0,47.0,46.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,299.0,299.0,298.0,292.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,Income Statement
Total Revenue,,,,,1071.0,1074.0,1099.0,1102.0,Income Statement
"Cost of Revenue, Total",,,,,257.0,262.0,274.0,271.0,Income Statement
Selling/Gen/Admin Expense,,,,,349.0,358.0,383.0,391.0,Income Statement
Labor & Related Expense,,,,,96.0,122.0,149.0,178.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,445.0,481.0,532.0,569.0,Income Statement
Research & Development,,,,,117.0,144.0,173.0,196.0,Income Statement
Total Operating Expense,,,,,820.0,887.0,978.0,1035.0,Income Statement
Total Operating Income,,,,,252.0,187.0,122.0,67.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,-120.0,-36.0,-35.0,-7.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,6.0,-7.0,3.0,-5.0,Income Statement
"Other, Net",,,,,6.0,-7.0,3.0,-5.0,Income Statement
Income Before Tax,,,,,139.0,144.0,90.0,55.0,Income Statement
Income Tax - Total,,,,,-352.0,30.0,45.0,6.0,Income Statement
Income After Tax,,,,,491.0,114.0,46.0,48.0,Income Statement
Net Inc Before Extra Items,,,,,491.0,114.0,46.0,48.0,Income Statement
Total Net Income,,,,,491.0,114.0,46.0,48.0,Income Statement
Total Adjust to Net Income,,,,,0.0,0.0,0.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,490.0,114.0,46.0,48.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,490.0,114.0,46.0,48.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,298.0,299.0,299.0,342.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,1.64,0.38,0.15,0.14,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,1.64,0.38,0.15,0.14,Income Statement
Diluted Weighted Average Shares,,,,,306.0,307.0,307.0,353.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,1.6,0.37,0.15,0.14,Income Statement
Diluted EPS Incl. Extra. Items,,,,,1.6,0.37,0.15,0.14,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,13.0,15.0,20.0,20.0,Income Statement
Normalzd Income Before Tax,,,,,139.0,144.0,90.0,55.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,-352.0,30.0,45.0,6.0,Income Statement
Normalized Income After Tax,,,,,491.0,114.0,46.0,48.0,Income Statement
Normalzd Inc Avail to Common,,,,,490.0,114.0,46.0,48.0,Income Statement
Basic Normalized EPS,,,,,1.64,0.38,0.15,0.14,Income Statement
Diluted Normalized EPS,,,,,1.6,0.37,0.15,0.14,Income Statement
Date,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,2022-10-31 00:00:00,Cash Flow
Net Income,,,,,1376.0,114.0,159.0,208.0,Cash Flow
Depreciation/Depletion,,,,,48.0,15.0,36.0,58.0,Cash Flow
Unusual Items,,,,,-44.0,36.0,71.0,78.0,Cash Flow
Equity in Net Earnings/Loss,,,,,25.0,4.0,5.0,4.0,Cash Flow
Other Non-Cash Items,,,,,386.0,297.0,641.0,1053.0,Cash Flow
Non-Cash Items,,,,,368.0,337.0,717.0,1135.0,Cash Flow
Accounts Receivable,,,,,-159.0,-84.0,-126.0,-238.0,Cash Flow
Prepaid Expenses,,,,,-156.0,-27.0,-137.0,-164.0,Cash Flow
Other Assets,,,,,-247.0,-66.0,-157.0,-218.0,Cash Flow
Accounts Payable,,,,,-2.0,11.0,16.0,25.0,Cash Flow
Accrued Expenses,,,,,84.0,72.0,53.0,99.0,Cash Flow
Changes in Working Capital,,,,,-186.0,60.0,-130.0,-322.0,Cash Flow
Total Cash from Operations,,,,,1605.0,526.0,783.0,1079.0,Cash Flow
Purchase of Fixed Assets,,,,,-133.0,-25.0,-53.0,-76.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-13.0,-3.0,-3.0,-11.0,Cash Flow
Capital Expenditures,,,,,-146.0,-28.0,-56.0,-86.0,Cash Flow
Acquisition of Business,,,,,-4.0,,-121.0,-121.0,Cash Flow
Sale/Maturity of Investment,,,,,2030.0,609.0,1307.0,2138.0,Cash Flow
Purchase of Investments,,,,,-4740.0,-623.0,-1638.0,-1992.0,Cash Flow
Other Investing Cash Flow,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-2713.0,-14.0,-452.0,26.0,Cash Flow
Total Cash from Investing,,,,,-2859.0,-42.0,-508.0,-61.0,Cash Flow
Financing Cash Flow Items,,,,,-40.0,-4.0,-3.0,1.0,Cash Flow
Sale/Issuance of Common,,,,,59.0,,35.0,35.0,Cash Flow
Repurch/Retirement Common,,,,,,-132.0,-426.0,-991.0,Cash Flow
