,ZM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.69,54.08,Valuation,0.5859837278106509
Price/Sales (TTM),4.81,9.39,Valuation,0.5122470713525026
Price/Book (MRQ),3.64,12.63,Valuation,0.28820269200316706
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7553000000000001,0.7206,Profitability,1.0481543158479045
Operating Profit Margin (TTM),0.1443,0.2172,Profitability,0.664364640883978
Net Profit Margin (TTM),0.1607,0.1553,Profitability,1.0347714101738572
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.08070000000000001,-0.0752,Gowth rates,1.0731382978723405
EPS Growth (TTM),-0.3994,-0.2824,Gowth rates,1.4143059490084986
Revenue Growth (MRQ),0.0022,0.15560000000000002,Gowth rates,0.014138817480719794
Revenue Growth (TTM),0.11140000000000001,0.1906,Gowth rates,0.584470094438615
Return On Equity (TTM),0.1285,0.2189,Effectiveness,0.5870260392873458
Return On Assets (TTM),0.0943,0.10740000000000001,Effectiveness,0.8780260707635008
Return On Investment (TTM),0.1244,0.1387,Effectiveness,0.89689978370584
Revenue Per Employee (TTM),640420.0,667721.0,Effectiveness,0.9591131625334534
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),9.64,0.28,Financial strength,34.42857142857143
