,ZM
% Above Low,0.016399999999999998
% Held by Institutions,0.6125
52-Wk Range,['70.44 - 221.41']
Annual Dividend $,
Annual Dividend %,
Ask,71.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,-0.3
Bid,71.71
Bid Size,100.0
Closing Price,71.59
Day Change $,-3.81
Day Change %,-0.050499999999999996
Day High,76.5
Day Low,71.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.26
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,20.9B
"P/E Ratio (TTM, GAAP)",33.38
Prev Close,75.4
Short Interest,0.0675
Today's Open,74.72
Volume,6250485.0
Volume 10-day Avg,5135933.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.2161016949152541
Growth 1yr High Est,-0.21564885496183206
Growth 1yr Consensus Est,-0.21587527493854308
Growth 2yr Low Est,-0.2175103069170865
Growth 2yr High Est,-0.045780631860478094
Growth 2yr Consensus Est,-0.1316454693887823
Growth 5yr Low Est,-0.2175103069170865
Growth 5yr High Est,-0.045780631860478094
Growth 5yr Consensus Est,-0.1316454693887823
Growth 5yr Actual/Est,2.1872772607464097
Growth 3yr Historic,2.2652053036783575
Price/Earnings (TTM),33.38174
Price/Sales (TTM),5.07096
Price/Book (MRQ),3.82933
Price/Cash Flow (TTM),28.78172
5yr Low,59.94
5yr High,588.84
5yr Avg Return,0.719525
EPS Growth 5yr,
Revenue Growth 5yr,1.321394
Dividend Growth 5yr,
Short Int Current Month,14484911.0
Short Int Prev Month,15782284.0
Short Int Pct of Float,0.0674516
Days to Cover,3.80997
Float,214.78
Shares Outstanding,292.3222
Institutions Holding Shares,956.0
FCF Growth 5yr,0.05568541433138544
"Price/Earnings (TTM, GAAP)",31.69
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7553000000000001
Operating Profit Margin (TTM),0.1443
Net Profit Margin (TTM),0.1607
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.08070000000000001
EPS Growth (TTM),-0.3994
Revenue Growth (MRQ),0.0022
Revenue Growth (TTM),0.11140000000000001
Return On Equity (TTM),0.1285
Return On Assets (TTM),0.0943
Return On Investment (TTM),0.1244
Revenue Per Employee (TTM),640420.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.64
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-19 00:00:00
theStreet since,2022-04-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-09-02 00:00:00
ford since,2021-05-07 00:00:00
marketEdge opinion since,
