,HCC
Price/Earnings (TTM),2.69701
Price/Sales (TTM),1.01307
Price/Book (MRQ),1.3603
Price/Cash Flow (TTM),2.273
5yr Low,9.46
5yr High,42.95
5yr Avg Return,0.09735
EPS Growth 5yr,
Revenue Growth 5yr,0.23477440000000002
Dividend Growth 5yr,
Short Int Current Month,3342433.0
Short Int Prev Month,2526295.0
Short Int Pct of Float,0.0653913
Days to Cover,4.23118
Float,51.11484
Shares Outstanding,51.65357
Institutions Holding Shares,289.0
% Held by Institutions,0.9821030000000001
FCF Growth 5yr,1.6048675365757215
