,HCC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.7,8.1,Valuation,0.33333333333333337
Price/Sales (TTM),1.01,26.88,Valuation,0.03757440476190476
Price/Book (MRQ),1.36,2.96,Valuation,0.4594594594594595
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.6036,0.37450000000000006,Profitability,1.6117489986648863
Operating Profit Margin (TTM),0.4744,0.1534,Profitability,3.0925684485006517
Net Profit Margin (TTM),0.37590000000000007,-0.0742,Profitability,-5.066037735849058
Annual Dividend Yield,0.0068000000000000005,0.0221,Dividend,0.3076923076923077
Dividend Change %,0.0,1.2752,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.166,Dividend,0.0
EPS Growth (MRQ),-0.6687000000000001,2.9881,Gowth rates,-0.22378769117499414
EPS Growth (TTM),32.2492,0.4999,Gowth rates,64.5113022604521
Revenue Growth (MRQ),-0.37590000000000007,-0.0394,Gowth rates,9.54060913705584
Revenue Growth (TTM),1.1141,0.1966,Gowth rates,5.666836215666328
Return On Equity (TTM),0.653,0.284,Effectiveness,2.2992957746478875
Return On Assets (TTM),0.4147,0.0867,Effectiveness,4.78316032295271
Return On Investment (TTM),0.4561,0.171,Effectiveness,2.667251461988304
Revenue Per Employee (TTM),4339408.0,1551415.0,Effectiveness,2.7970646152061183
Total Debt/Total Capital (MRQ),0.2024,0.30510000000000004,Financial strength,0.6633890527695836
Change in Debt/Total Capital Quarter over Quarter,-0.004,0.0381,Financial strength,-0.10498687664041995
Quick Ratio (MRQ),6.12,2.21,Financial strength,2.769230769230769
Interest Coverage (MRQ),24.02,28.93,Financial strength,0.8302799861735223
