,HCC
% Below High,0.17370000000000002
% Held by Institutions,0.9821
52-Wk Range,['20.25 - 42.95']
Annual Dividend $,0.24
Annual Dividend %,0.0068000000000000005
Ask,35.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,20.08
Bid Size,100.0
Closing Price,35.49
Day Change $,0.31
Day Change %,0.0088
Day High,35.9
Day Low,35.2
Dividend Pay Date,2022-11-11 00:00:00
"EPS (TTM, GAAP)",13.16
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.521
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.7
Prev Close,35.18
Short Interest,0.0654
Today's Open,35.38
Volume,111858.0
Volume 10-day Avg,629347.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.2557692307692307
Growth 1yr High Est,1.6517690875232773
Growth 1yr Consensus Est,1.453769159146254
Growth 2yr Low Est,0.27195963669748835
Growth 2yr High Est,0.5769379145481555
Growth 2yr Consensus Est,0.4244487756228219
Growth 5yr Low Est,0.13597981834874417
Growth 5yr High Est,0.28846895727407773
Growth 5yr Consensus Est,0.21222438781141095
Growth 5yr Actual/Est,-1.8179499919299384
Growth 3yr Historic,-2.1594735720375104
Price/Earnings (TTM),2.69701
Price/Sales (TTM),1.01307
Price/Book (MRQ),1.3603
Price/Cash Flow (TTM),2.273
5yr Low,9.46
5yr High,42.95
5yr Avg Return,0.09735
EPS Growth 5yr,
Revenue Growth 5yr,0.23477440000000002
Dividend Growth 5yr,
Short Int Current Month,3342433.0
Short Int Prev Month,2526295.0
Short Int Pct of Float,0.0653913
Days to Cover,4.23118
Float,51.11484
Shares Outstanding,51.65357
Institutions Holding Shares,289.0
FCF Growth 5yr,1.6048675365757215
"Price/Earnings (TTM, GAAP)",2.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6036
Operating Profit Margin (TTM),0.4744
Net Profit Margin (TTM),0.37590000000000007
Annual Dividend Yield,0.0068000000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6687000000000001
EPS Growth (TTM),32.2492
Revenue Growth (MRQ),-0.37590000000000007
Revenue Growth (TTM),1.1141
Return On Equity (TTM),0.653
Return On Assets (TTM),0.4147
Return On Investment (TTM),0.4561
Revenue Per Employee (TTM),4339408.0
Total Debt/Total Capital (MRQ),0.2024
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),6.12
Interest Coverage (MRQ),24.02
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-07 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
