,CAH
% Below High,0.0321
% Held by Institutions,0.8911
52-Wk Range,['45.85 - 81.57']
Annual Dividend $,1.98
Annual Dividend %,0.025099999999999997
Ask,88.34
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,72.0
Bid Size,100.0
Closing Price,78.95
Day Change $,0.51
Day Change %,0.006500000000000001
Day High,79.72
Day Low,78.5
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",-3.98
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.266
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,20.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,78.44
Short Interest,0.032799999999999996
Today's Open,79.01
Volume,1118711.0
Volume 10-day Avg,3101555.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.01553398058252431
Growth 1yr High Est,0.05950095969289815
Growth 1yr Consensus Est,0.03751747013771123
Growth 2yr Low Est,0.06990848168705555
Growth 2yr High Est,0.13301134941166648
Growth 2yr Consensus Est,0.10145991554936101
Growth 5yr Low Est,0.03592889971292351
Growth 5yr High Est,0.05815688064275348
Growth 5yr Consensus Est,0.0470428901778385
Growth 5yr Actual/Est,0.040982165954021266
Growth 3yr Historic,-0.01738589758371356
Price/Earnings (TTM),
Price/Sales (TTM),0.11067
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,39.05
5yr High,81.57
5yr Avg Return,0.08406666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.0689012
Dividend Growth 5yr,0.0180075
Short Int Current Month,8550414.0
Short Int Prev Month,11919382.0
Short Int Pct of Float,0.0327588
Days to Cover,2.21512
Float,261.1191
Shares Outstanding,262.1341
Institutions Holding Shares,1153.0
FCF Growth 5yr,58.254807251979344
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0349
Operating Profit Margin (TTM),-0.0047
Net Profit Margin (TTM),-0.0058
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.0101
"Dividend Growth Rate, 3 Years",0.01
EPS Growth (MRQ),-0.2029
EPS Growth (TTM),-2.0274
Revenue Growth (MRQ),0.053099999999999994
Revenue Growth (TTM),0.1173
Return On Equity (TTM),
Return On Assets (TTM),-0.0253
Return On Investment (TTM),-0.0772
Revenue Per Employee (TTM),4021484.0
Total Debt/Total Capital (MRQ),1.5105000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),13.84
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2022-02-03 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-06 00:00:00
