,CAH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.11,1.32,Valuation,0.08333333333333333
Price/Book (MRQ),,4.31,Valuation,
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.0349,0.1318,Profitability,0.26479514415781485
Operating Profit Margin (TTM),-0.0047,0.0458,Profitability,-0.10262008733624454
Net Profit Margin (TTM),-0.0058,0.0242,Profitability,-0.23966942148760328
Annual Dividend Yield,0.025099999999999997,0.0108,Dividend,2.3240740740740735
Dividend Change %,0.0101,7.1517,Dividend,0.001412251632478991
"Dividend Growth Rate, 3 Years",0.01,0.3483,Dividend,0.02871088142405972
EPS Growth (MRQ),-0.2029,-0.1478,Gowth rates,1.3728010825439785
EPS Growth (TTM),-2.0274,-1.101,Gowth rates,1.8414168937329702
Revenue Growth (MRQ),0.053099999999999994,0.0931,Gowth rates,0.5703544575725026
Revenue Growth (TTM),0.1173,0.1191,Gowth rates,0.9848866498740555
Return On Equity (TTM),,7.2022,Effectiveness,
Return On Assets (TTM),-0.0253,0.0403,Effectiveness,-0.6277915632754342
Return On Investment (TTM),-0.0772,0.016,Effectiveness,-4.825
Revenue Per Employee (TTM),4021484.0,1375304.0,Effectiveness,2.9240691512567403
Total Debt/Total Capital (MRQ),1.5105000000000002,0.4855,Financial strength,3.1112255406797122
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0015,Financial strength,-0.5333333333333333
Quick Ratio (MRQ),0.53,0.31,Financial strength,1.7096774193548387
Interest Coverage (MRQ),13.84,9.55,Financial strength,1.4492146596858637
