,KEYS
% Below High,0.1553
% Held by Institutions,0.8390000000000001
52-Wk Range,['127.93 - 209.08']
Annual Dividend $,
Annual Dividend %,
Ask,180.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,155.19
Bid Size,100.0
Closing Price,176.62
Day Change $,0.58
Day Change %,0.0033
Day High,177.25
Day Low,175.88
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.18
Ex-dividend Date,No dividend
Historical Volatility,0.33799999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,31.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.57
Prev Close,176.04
Short Interest,0.0175
Today's Open,176.5
Volume,413623.0
Volume 10-day Avg,973466.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.02553763440860224
Growth 1yr High Est,0.15066666666666673
Growth 1yr Consensus Est,0.06256451612903224
Growth 2yr Low Est,0.01481738969225066
Growth 2yr High Est,0.11067516415604484
Growth 2yr Consensus Est,0.06274627692414775
Growth 5yr Low Est,0.13867154547520688
Growth 5yr High Est,0.1864677631203493
Growth 5yr Consensus Est,0.1625696542977781
Growth 5yr Actual/Est,0.15820524470495556
Growth 3yr Historic,0.12731379589945557
Price/Earnings (TTM),28.56579
Price/Sales (TTM),5.81673
Price/Book (MRQ),7.57671
Price/Cash Flow (TTM),23.4051
5yr Low,41.33
5yr High,209.08
5yr Avg Return,0.2968
EPS Growth 5yr,0.6159693
Revenue Growth 5yr,0.1119083
Dividend Growth 5yr,
Short Int Current Month,3099131.0
Short Int Prev Month,3047946.0
Short Int Pct of Float,0.0174862
Days to Cover,3.08137
Float,177.4205
Shares Outstanding,178.5
Institutions Holding Shares,1245.0
FCF Growth 5yr,0.7816918596997519
"Price/Earnings (TTM, GAAP)",28.57
"PEG Ratio (TTM, GAAP)",2.85
Gross Profit Margin (TTM),0.6365
Operating Profit Margin (TTM),0.2461
Net Profit Margin (TTM),0.2074
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.11050000000000001
EPS Growth (TTM),0.2926
Revenue Growth (MRQ),0.0487
Revenue Growth (TTM),0.0969
Return On Equity (TTM),0.2829
Return On Assets (TTM),0.1416
Return On Investment (TTM),0.17079999999999998
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.3011
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),2.4
Interest Coverage (MRQ),40.1
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2019-02-22 00:00:00
researchTeam since,2019-08-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-08-23 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
