,KEYS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.57,21.62,Valuation,1.3214616096207215
Price/Sales (TTM),5.82,5.43,Valuation,1.0718232044198897
Price/Book (MRQ),7.58,5.49,Valuation,1.3806921675774135
"PEG Ratio (TTM, GAAP)",2.85,14.73,Valuation,0.1934826883910387
Gross Profit Margin (TTM),0.6365,0.33659999999999995,Profitability,1.8909685086155676
Operating Profit Margin (TTM),0.2461,-0.0824,Profitability,-2.9866504854368934
Net Profit Margin (TTM),0.2074,-0.1173,Profitability,-1.7681159420289856
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.11050000000000001,0.1058,Gowth rates,-1.0444234404536863
EPS Growth (TTM),0.2926,-0.0147,Gowth rates,-19.90476190476191
Revenue Growth (MRQ),0.0487,0.1655,Gowth rates,0.29425981873111784
Revenue Growth (TTM),0.0969,0.1855,Gowth rates,0.5223719676549865
Return On Equity (TTM),0.2829,0.23850000000000002,Effectiveness,1.1861635220125786
Return On Assets (TTM),0.1416,0.0752,Effectiveness,1.8829787234042552
Return On Investment (TTM),0.17079999999999998,0.1041,Effectiveness,1.6407300672430354
Revenue Per Employee (TTM),,449465.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.3011,0.3575,Financial strength,0.8422377622377623
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0362,Financial strength,-0.011049723756906077
Quick Ratio (MRQ),2.4,1.53,Financial strength,1.5686274509803921
Interest Coverage (MRQ),40.1,15.46,Financial strength,2.59379042690815
