,CMI
% Below High,0.0144
% Held by Institutions,0.8183
52-Wk Range,['184.28 - 254.09']
Annual Dividend $,6.28
Annual Dividend %,0.025099999999999997
Ask,251.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,234.0
Bid Size,100.0
Closing Price,250.42
Day Change $,-0.44
Day Change %,-0.0018
Day High,251.78
Day Low,249.69
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.42
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.287
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,35.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.67
Prev Close,250.86
Short Interest,0.0235
Today's Open,251.11
Volume,253387.0
Volume 10-day Avg,989467.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.02898550724637672
Growth 1yr High Est,0.13237139272271015
Growth 1yr Consensus Est,0.08067844998454343
Growth 2yr Low Est,0.02421777039045858
Growth 2yr High Est,0.2027507933142636
Growth 2yr Consensus Est,0.11348428185236109
Growth 5yr Low Est,0.011592356269609472
Growth 5yr High Est,0.10847217085068017
Growth 5yr Consensus Est,0.06003226356014482
Growth 5yr Actual/Est,0.08682780490869149
Growth 3yr Historic,0.005073976195481361
Price/Earnings (TTM),18.66605
Price/Sales (TTM),1.35005
Price/Book (MRQ),4.21351
Price/Cash Flow (TTM),13.3343
5yr Low,101.03
5yr High,277.09
5yr Avg Return,0.09468333333333334
EPS Growth 5yr,0.1215103
Revenue Growth 5yr,0.0652853
Dividend Growth 5yr,0.0696104
Short Int Current Month,3291828.0
Short Int Prev Month,3561903.0
Short Int Pct of Float,0.023465899999999998
Days to Cover,2.48443
Float,140.417
Shares Outstanding,141.0
Institutions Holding Shares,1605.0
FCF Growth 5yr,2.7734619530872457
"Price/Earnings (TTM, GAAP)",18.67
"PEG Ratio (TTM, GAAP)",2.03
Gross Profit Margin (TTM),0.2384
Operating Profit Margin (TTM),0.1003
Net Profit Margin (TTM),0.0741
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.06
"Dividend Growth Rate, 3 Years",0.0804
EPS Growth (MRQ),-0.4302
EPS Growth (TTM),-0.1178
Revenue Growth (MRQ),0.1134
Revenue Growth (TTM),0.0897
Return On Equity (TTM),0.2325
Return On Assets (TTM),0.0734
Return On Investment (TTM),0.1165
Revenue Per Employee (TTM),436628.0
Total Debt/Total Capital (MRQ),0.45780000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0059
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
cfra since,2022-05-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-05-04 00:00:00
