,KOP
% Below High,0.12380000000000001
% Held by Institutions,0.9022
52-Wk Range,['20.11 - 33.68']
Annual Dividend $,0.2
Annual Dividend %,0.0068000000000000005
Ask,34.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,11.86
Bid Size,100.0
Closing Price,29.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",3.38
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.413
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,618.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.74
Prev Close,29.51
Short Interest,0.023399999999999997
Today's Open,
Volume,35895.0
Volume 10-day Avg,83358.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.02985074626865658
Growth 1yr High Est,-0.004854368932038944
Growth 1yr Consensus Est,-0.017352557600347762
Growth 2yr Low Est,0.03122847301951781
Growth 2yr High Est,0.10732891309495624
Growth 2yr Consensus Est,0.06927869305723702
Growth 5yr Low Est,0.059633972341428365
Growth 5yr High Est,0.09744127321586105
Growth 5yr Consensus Est,0.0785376227786447
Growth 5yr Actual/Est,0.08916910399408406
Growth 3yr Historic,0.06663941278268265
Price/Earnings (TTM),8.74093
Price/Sales (TTM),0.32403
Price/Book (MRQ),1.67309
Price/Cash Flow (TTM),4.70046
5yr Low,8.25
5yr High,51.65
5yr Avg Return,0.06333333333333335
EPS Growth 5yr,0.23366769999999998
Revenue Growth 5yr,0.034581100000000004
Dividend Growth 5yr,
Short Int Current Month,467894.0
Short Int Prev Month,605244.0
Short Int Pct of Float,0.023393399999999998
Days to Cover,5.12222
Float,20.0635
Shares Outstanding,20.89801
Institutions Holding Shares,200.0
FCF Growth 5yr,-0.02319892977027142
"Price/Earnings (TTM, GAAP)",8.74
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1794
Operating Profit Margin (TTM),0.0808
Net Profit Margin (TTM),0.038
Annual Dividend Yield,0.0068000000000000005
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6444
EPS Growth (TTM),-0.0935
Revenue Growth (MRQ),0.0669
Revenue Growth (TTM),0.1421
Return On Equity (TTM),0.18969999999999998
Return On Assets (TTM),0.0438
Return On Investment (TTM),0.0529
Revenue Per Employee (TTM),911494.0
Total Debt/Total Capital (MRQ),0.6874
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),3.75
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-07-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
