,KOP
Price/Earnings (TTM),8.74093
Price/Sales (TTM),0.32403
Price/Book (MRQ),1.67309
Price/Cash Flow (TTM),4.70046
5yr Low,8.25
5yr High,51.65
5yr Avg Return,0.06333333333333335
EPS Growth 5yr,0.23366769999999998
Revenue Growth 5yr,0.034581100000000004
Dividend Growth 5yr,
Short Int Current Month,467894.0
Short Int Prev Month,605244.0
Short Int Pct of Float,0.023393399999999998
Days to Cover,5.12222
Float,20.0635
Shares Outstanding,20.89801
Institutions Holding Shares,200.0
% Held by Institutions,0.902246
FCF Growth 5yr,-0.02319892977027142
