,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,25.25,23.57,,,,,
low,16.16,12.64,,,,,
change,0.2548,-0.2972,,,,,
Date,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,5.0,5.0,9.0,3.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,43.0,40.0,37.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,60.0,43.0,39.0,37.0,Balance Sheet
Invent. - Finished Goods,,,112.0,95.0,86.0,109.0,Balance Sheet
Invent. - Work In Progress,,,191.0,200.0,198.0,162.0,Balance Sheet
Invent. - Raw Materials,,,16.0,3.0,7.0,14.0,Balance Sheet
Total Inventory,,,319.0,298.0,292.0,285.0,Balance Sheet
Prepaid Expenses,,,9.0,10.0,9.0,14.0,Balance Sheet
Total Current Assets,,,393.0,355.0,349.0,340.0,Balance Sheet
Buildings,,,69.0,69.0,69.0,71.0,Balance Sheet
Land/Improvements,,,149.0,164.0,164.0,181.0,Balance Sheet
Machinery/Equipment,,,51.0,52.0,52.0,53.0,Balance Sheet
Construction in Progress,,,11.0,4.0,5.0,6.0,Balance Sheet
Other Prop./Plant/Equip.,,,25.0,31.0,31.0,53.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,304.0,319.0,321.0,364.0,Balance Sheet
Accumulated Depreciation,,,-60.0,-63.0,-67.0,-71.0,Balance Sheet
Prop./Plant/Equip. - Net,,,244.0,256.0,253.0,293.0,Balance Sheet
"Goodwill, Net",,,425.0,425.0,425.0,425.0,Balance Sheet
Intangibles - Gross,,,235.0,235.0,235.0,234.0,Balance Sheet
Accum. Intangible Amort.,,,-37.0,-38.0,-40.0,-42.0,Balance Sheet
Intangibles - Net,,,199.0,197.0,195.0,192.0,Balance Sheet
Other Long Term Assets,,,2.0,3.0,2.0,2.0,Balance Sheet
Total Assets,,,1263.0,1235.0,1224.0,1252.0,Balance Sheet
Accounts Payable,,,53.0,10.0,5.0,3.0,Balance Sheet
Accrued Expenses,,,55.0,35.0,33.0,44.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,11.0,11.0,11.0,10.0,Balance Sheet
Customer Advances,,,7.0,2.0,6.0,2.0,Balance Sheet
Income Taxes Payable,,,4.0,2.0,1.0,,Balance Sheet
Other Current Liabilities,,,0.0,0.0,0.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,11.0,5.0,7.0,3.0,Balance Sheet
Total Current Liabilities,,,130.0,61.0,56.0,60.0,Balance Sheet
Total Long Term Debt,,,221.0,242.0,220.0,214.0,Balance Sheet
Total Debt,,,232.0,253.0,231.0,224.0,Balance Sheet
Deferred Income Tax,,,87.0,87.0,87.0,90.0,Balance Sheet
Minority Interest,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,1.0,1.0,1.0,20.0,Balance Sheet
Total Liabilities,,,439.0,392.0,365.0,385.0,Balance Sheet
Common Stock,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,728.0,730.0,730.0,732.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,95.0,113.0,128.0,134.0,Balance Sheet
Total Equity,,,824.0,843.0,860.0,867.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1263.0,1235.0,1224.0,1252.0,Balance Sheet
Ttl Comm. Shares Outs.,,,115.0,115.0,115.0,115.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,104181.0,98736.0,91584.0,78009.0,Income Statement
"Cost of Revenue, Total",,,51771.0,49259.0,47622.0,38678.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,23158.0,23814.0,23083.0,27688.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,Income Statement
Other Unusual Expnse (In),,,49.0,31.0,43.0,0.0,Income Statement
Unusual Expense (Income),,,49.0,31.0,43.0,0.0,Income Statement
Total Operating Expense,,,74978.0,73104.0,70748.0,66366.0,Income Statement
Total Operating Income,,,29203.0,25632.0,20836.0,11643.0,Income Statement
"Inter Expse,Net Non-Operat",,,-1606.0,-1636.0,-1618.0,-1917.0,Income Statement
OtherNon-OperatInc (Expnse),,,1093.0,338.0,1046.0,-263.0,Income Statement
"Other, Net",,,1093.0,338.0,1046.0,-263.0,Income Statement
Income Before Tax,,,28690.0,24334.0,20264.0,9463.0,Income Statement
Income Tax - Total,,,7377.0,6407.0,4699.0,4041.0,Income Statement
Income After Tax,,,21313.0,17927.0,15565.0,5422.0,Income Statement
Minority Interest,,,-40.0,5.0,0.0,-2.0,Income Statement
Net Inc Before Extra Items,,,21273.0,17932.0,15565.0,5420.0,Income Statement
Total Net Income,,,21273.0,17932.0,15565.0,5420.0,Income Statement
Income Available to Common Excl. Extra. Items,,,21273.0,17932.0,15565.0,5420.0,Income Statement
Income Available to Common Incl. Extra. Items,,,21273.0,17932.0,15565.0,5420.0,Income Statement
Basic/Primary Weighted Average Shares,,,115047.0,115049.0,115116.0,115174.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.18,0.16,0.14,0.05,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.18,0.16,0.14,0.05,Income Statement
Diluted Weighted Average Shares,,,115396.0,115390.0,115282.0,115411.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.18,0.16,0.14,0.05,Income Statement
Diluted EPS Incl. Extra. Items,,,0.18,0.16,0.14,0.05,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,1606.0,1636.0,1618.0,1917.0,Income Statement
"Depreciat/Amort, Suppl",,,300.0,300.0,300.0,700.0,Income Statement
Total Special Items,,,1794.0,1055.0,390.0,2578.0,Income Statement
Normalzd Income Before Tax,,,30484.0,25389.0,20654.0,12041.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,461.0,278.0,90.0,1101.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,7838.0,6685.0,4789.0,5142.0,Income Statement
Normalized Income After Tax,,,22646.0,18704.0,15865.0,6899.0,Income Statement
Normalzd Inc Avail to Common,,,22606.0,18709.0,15865.0,6897.0,Income Statement
Basic Normalized EPS,,,0.2,0.16,0.14,0.06,Income Statement
