,NAPA
% Above Low,0.2872
% Held by Institutions,0.9664
52-Wk Range,['12.64 - 23.57']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,14.0
Bid Size,100.0
Closing Price,16.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,0.38200000000000006
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",31.18
Prev Close,16.27
Short Interest,0.0325
Today's Open,
Volume,1027714.0
Volume 10-day Avg,657859.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.033333333333333326
Growth 1yr High Est,0.015873015873015817
Growth 1yr Consensus Est,-0.008730158730158755
Growth 2yr Low Est,0.0436781609195403
Growth 2yr High Est,0.07824900793650791
Growth 2yr Consensus Est,0.060963584428024103
Growth 5yr Low Est,0.0436781609195403
Growth 5yr High Est,0.07824900793650791
Growth 5yr Consensus Est,0.060963584428024103
Growth 5yr Actual/Est,0.06062291434927699
Growth 3yr Historic,0.02298850574712648
Price/Earnings (TTM),31.18471
Price/Sales (TTM),5.03086
Price/Book (MRQ),2.16259
Price/Cash Flow (TTM),27.03198
5yr Low,12.64
5yr High,25.25
5yr Avg Return,-0.021199999999999993
Short Int Current Month,1381702.0
Short Int Prev Month,1820805.0
Short Int Pct of Float,0.0324736
Days to Cover,3.94658
Float,111.2438
Shares Outstanding,115.1842
Institutions Holding Shares,175.0
FCF Growth 5yr,-2.4122313150387034
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",31.18
"PEG Ratio (TTM, GAAP)",3.23
Gross Profit Margin (TTM),0.49710000000000004
Operating Profit Margin (TTM),0.23440000000000003
Net Profit Margin (TTM),0.1617
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6522
EPS Growth (TTM),
Revenue Growth (MRQ),-0.1482
Revenue Growth (TTM),
Return On Equity (TTM),0.0722
Return On Assets (TTM),0.0495
Return On Investment (TTM),0.052000000000000005
Revenue Per Employee (TTM),858318.0
Total Debt/Total Capital (MRQ),0.20500000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),7.42
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-10-21 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
