,CDAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),8.64,9.39,Valuation,0.9201277955271565
Price/Book (MRQ),5.02,12.63,Valuation,0.39746634996041164
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.37070000000000003,0.7206,Profitability,0.5144324174299195
Operating Profit Margin (TTM),-0.059500000000000004,0.2172,Profitability,-0.27394106813996316
Net Profit Margin (TTM),-0.0652,0.1553,Profitability,-0.4198325820991629
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0576,-0.0752,Gowth rates,0.7659574468085106
EPS Growth (TTM),0.0884,-0.2824,Gowth rates,-0.31303116147308785
Revenue Growth (MRQ),0.0478,0.15560000000000002,Gowth rates,0.30719794344473006
Revenue Growth (TTM),0.2356,0.1906,Gowth rates,1.236096537250787
Return On Equity (TTM),-0.0364,0.2189,Effectiveness,-0.16628597533120146
Return On Assets (TTM),-0.0091,0.10740000000000001,Effectiveness,-0.08472998137802606
Return On Investment (TTM),-0.0229,0.1387,Effectiveness,-0.16510454217736123
Revenue Per Employee (TTM),159770.0,667721.0,Effectiveness,0.2392765840822739
Total Debt/Total Capital (MRQ),0.37340000000000007,0.39659999999999995,Financial strength,0.9415027735753911
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0004,Financial strength,5.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-0.31,0.28,Financial strength,-1.107142857142857
