,CDAY
% Above Low,0.5522
% Held by Institutions,1.0454999999999999
52-Wk Range,['43.23 - 113.76']
Annual Dividend $,
Annual Dividend %,
Ask,73.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,51.26
Bid Size,200.0
Closing Price,67.1
Day Change $,0.22
Day Change %,0.0033
Day High,67.29
Day Low,66.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.51
Ex-dividend Date,No dividend
Historical Volatility,0.556
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,10.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,66.88
Short Interest,0.065
Today's Open,66.48
Volume,342106.0
Volume 10-day Avg,1878433.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.4186046511627908
Growth 1yr High Est,0.7017543859649125
Growth 1yr Consensus Est,0.5601795185638516
Growth 2yr Low Est,0.29126953869614947
Growth 2yr High Est,0.412732863085549
Growth 2yr Consensus Est,0.35200120089084924
Growth 5yr Low Est,0.14563476934807473
Growth 5yr High Est,0.2063664315427745
Growth 5yr Consensus Est,0.17600060044542462
Growth 5yr Actual/Est,0.4057803790412486
Growth 3yr Historic,-0.0982608695652174
Price/Earnings (TTM),
Price/Sales (TTM),8.6447
Price/Book (MRQ),5.02224
Price/Cash Flow (TTM),2103.309
5yr Low,28.65
5yr High,130.37
5yr Avg Return,0.27756000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0777989
Dividend Growth 5yr,
Short Int Current Month,9842520.0
Short Int Prev Month,10304999.0
Short Int Pct of Float,0.0649803
Days to Cover,3.11
Float,152.1087
Shares Outstanding,153.5949
Institutions Holding Shares,524.0
FCF Growth 5yr,-3.5063492063492063
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.37070000000000003
Operating Profit Margin (TTM),-0.059500000000000004
Net Profit Margin (TTM),-0.0652
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0576
EPS Growth (TTM),0.0884
Revenue Growth (MRQ),0.0478
Revenue Growth (TTM),0.2356
Return On Equity (TTM),-0.0364
Return On Assets (TTM),-0.0091
Return On Investment (TTM),-0.0229
Revenue Per Employee (TTM),159770.0
Total Debt/Total Capital (MRQ),0.37340000000000007
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.31
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-04-27 00:00:00
cfra since,2020-08-08 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-04-27 00:00:00
marketEdge opinion since,
