,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,44.98,68.63,111.93,130.37,105.5,,,,,
low,28.65,33.17,38.4,78.2,43.23,,,,,
change,0.19340000000000002,1.0166,0.5572,-0.0207,-0.35869999999999996,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,368.0,355.0,371.0,408.0,Balance Sheet
"Total Receivables, Net",,,,,,146.0,144.0,151.0,155.0,Balance Sheet
Prepaid Expenses,,,,,,89.0,109.0,114.0,105.0,Balance Sheet
Restricted Cash - Current,,,,,,2.0,2.0,1.0,1.0,Balance Sheet
Other Current Assets,,,,,,3539.0,7368.0,5400.0,4338.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,3541.0,7370.0,5401.0,4339.0,Balance Sheet
Total Current Assets,,,,,,4144.0,7978.0,6038.0,5007.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,158.0,163.0,172.0,172.0,Balance Sheet
"Goodwill, Net",,,,,,2324.0,2337.0,2302.0,2262.0,Balance Sheet
Intangibles - Gross,,,,,,727.0,734.0,717.0,702.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-394.0,-403.0,-405.0,-403.0,Balance Sheet
Intangibles - Net,,,,,,333.0,330.0,313.0,298.0,Balance Sheet
Other Long Term Assets,,,,,,64.0,252.0,258.0,267.0,Balance Sheet
Total Assets,,,,,,7166.0,11060.0,9082.0,8006.0,Balance Sheet
Accounts Payable,,,,,,52.0,49.0,51.0,57.0,Balance Sheet
Accrued Expenses,,,,,,113.0,105.0,110.0,112.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Customer Advances,,,,,,49.0,48.0,42.0,43.0,Balance Sheet
Other Current Liabilities,,,,,,3520.0,7419.0,5488.0,4457.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,3569.0,7467.0,5530.0,4499.0,Balance Sheet
Total Current Liabilities,,,,,,3742.0,7629.0,5699.0,4676.0,Balance Sheet
Long Term Debt,,,,,,1116.0,1205.0,1207.0,1207.0,Balance Sheet
Capital Lease Obligations,,,,,,8.0,11.0,8.0,8.0,Balance Sheet
Total Long Term Debt,,,,,,1124.0,1216.0,1215.0,1214.0,Balance Sheet
Total Debt,,,,,,1133.0,1224.0,1223.0,1222.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,21.0,20.0,20.0,19.0,Balance Sheet
Other LT Liabilities,,,,,,52.0,54.0,54.0,46.0,Balance Sheet
"Other Liabilities, Total",,,,,,72.0,74.0,74.0,65.0,Balance Sheet
Total Liabilities,,,,,,4939.0,8919.0,6988.0,5955.0,Balance Sheet
Common Stock,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,,2860.0,2824.0,2870.0,2918.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-309.0,-327.0,-346.0,-367.0,Balance Sheet
Unrealized Gain (Loss),,,,,,3.0,-48.0,-76.0,-100.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-177.0,-162.0,-209.0,-258.0,Balance Sheet
