,POWW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.43,71.6,Valuation,0.14567039106145252
Price/Sales (TTM),0.98,1.12,Valuation,0.8749999999999999
Price/Book (MRQ),0.66,4.04,Valuation,0.16336633663366337
"PEG Ratio (TTM, GAAP)",,2.17,Valuation,
Gross Profit Margin (TTM),0.34270000000000006,0.4144,Profitability,0.8269787644787646
Operating Profit Margin (TTM),0.1268,0.0529,Profitability,2.3969754253308126
Net Profit Margin (TTM),0.1051,0.0173,Profitability,6.075144508670521
Annual Dividend Yield,,0.0165,Dividend,
Dividend Change %,,0.08750000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0415,Dividend,
EPS Growth (MRQ),11.208699999999999,0.1759,Gowth rates,63.722001137009656
EPS Growth (TTM),32.8053,-0.3306,Gowth rates,-99.22958257713249
Revenue Growth (MRQ),-0.1333,0.06280000000000001,Gowth rates,-2.1226114649681525
Revenue Growth (TTM),1.6366999999999998,0.1151,Gowth rates,14.219808861859253
Return On Equity (TTM),0.0669,0.0245,Effectiveness,2.730612244897959
Return On Assets (TTM),0.0671,0.0403,Effectiveness,1.6650124069478909
Return On Investment (TTM),0.0743,0.0563,Effectiveness,1.3197158081705151
Revenue Per Employee (TTM),714621.0,596566.0,Effectiveness,1.1978909290841249
Total Debt/Total Capital (MRQ),0.0172,0.4744,Financial strength,0.03625632377740304
Change in Debt/Total Capital Quarter over Quarter,0.027400000000000004,0.0019,Financial strength,14.42105263157895
Quick Ratio (MRQ),1.94,1.03,Financial strength,1.8834951456310678
Interest Coverage (MRQ),42.02,16.69,Financial strength,2.5176752546434993
