,POWW
% Above Low,0.041600000000000005
% Held by Institutions,0.2815
52-Wk Range,['2.05 - 6.33']
Annual Dividend $,
Annual Dividend %,
Ask,2.13
Ask Size,2000.0
B/A Ratio,0.85
B/A Size,1700x2000
Beta,0.3
Bid,2.12
Bid Size,1700.0
Day Change $,0.0
Day Change %,0.0
Day High,2.17
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.2
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),11:19a ET 11/28/22
Market Cap,250.2M
"P/E Ratio (TTM, GAAP)",10.43
Prev Close,2.13
Price,2.13
Short Interest,0.0962
Today's Open,2.15
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.8888888888888893
Growth 2yr High Est,2.0000000000000004
Growth 2yr Consensus Est,-0.4444444444444444
Growth 5yr Low Est,-2.8888888888888893
Growth 5yr High Est,2.0000000000000004
Growth 5yr Consensus Est,-0.4444444444444444
Growth 5yr Actual/Est,5.3694885361552025
Growth 3yr Historic,-0.9761904761904763
Price/Earnings (TTM),10.43146
Price/Sales (TTM),0.97513
Price/Book (MRQ),0.65885
Price/Cash Flow (TTM),5.95479
5yr Low,0.96
5yr High,10.37
5yr Avg Return,0.2975166666666667
Short Int Current Month,8450732.0
Short Int Prev Month,8381584.0
Short Int Pct of Float,0.0961748
Days to Cover,5.32395
Float,87.86844
Shares Outstanding,117.4498
Institutions Holding Shares,179.0
FCF Growth 5yr,-0.22408970967303665
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34270000000000006
Operating Profit Margin (TTM),0.1268
Net Profit Margin (TTM),0.1051
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),11.208699999999999
EPS Growth (TTM),32.8053
Revenue Growth (MRQ),-0.1333
Revenue Growth (TTM),1.6366999999999998
Return On Equity (TTM),0.0669
Return On Assets (TTM),0.0671
Return On Investment (TTM),0.0743
Revenue Per Employee (TTM),714621.0
Total Debt/Total Capital (MRQ),0.0172
Change in Debt/Total Capital Quarter over Quarter,0.027400000000000004
Quick Ratio (MRQ),1.94
Interest Coverage (MRQ),42.02
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2021-06-30 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
