,NFLX
% Above Low,0.7549
% Held by Institutions,0.7779
52-Wk Range,['162.71 - 676.41']
Annual Dividend $,
Annual Dividend %,
Ask,282.94
Ask Size,100.0
Ask close,303.6
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,282.56
Bid Size,100.0
Bid close,266.71
Change Since Close,-2.86| |(-1.00%)
Closing Price,285.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.61
Ex-dividend Date,No dividend
Historical Volatility,0.735
Last (size),20.0
Last (time),1:00p ET 11/25/22
Last Trade,282.68
Market Cap,127.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.92
Prev Close,285.54
Short Interest,0.0248
Today's Open,
Volume,6162.0
Volume 10-day Avg,9161358.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,38.0
Growth 1yr Low Est,-0.03336510962821726
Growth 1yr High Est,0.02313167259786475
Growth 1yr Consensus Est,-0.005116718515176255
Growth 2yr Low Est,-0.09705730826578518
Growth 2yr High Est,0.09417453195110626
Growth 2yr Consensus Est,-0.0014413881573394627
Growth 5yr Low Est,0.17052548012633287
Growth 5yr High Est,0.2979878771429227
Growth 5yr Consensus Est,0.23425667863462776
Growth 5yr Actual/Est,0.31386537715398205
Growth 3yr Historic,0.3302097935516758
Price/Earnings (TTM),26.92257
Price/Sales (TTM),4.03749
Price/Book (MRQ),6.1901
Price/Cash Flow (TTM),6.71652
5yr Low,162.71
5yr High,700.99
5yr Avg Return,0.13756666666666667
EPS Growth 5yr,0.9049605
Revenue Growth 5yr,0.2745189
Dividend Growth 5yr,
Short Int Current Month,10887930.0
Short Int Prev Month,12053104.0
Short Int Pct of Float,0.024824600000000002
Days to Cover,1.09259
Float,438.597
Shares Outstanding,445.0205
Institutions Holding Shares,2304.0
FCF Growth 5yr,-2.1605446630063008
"Price/Earnings (TTM, GAAP)",26.92
"PEG Ratio (TTM, GAAP)",4.63
Gross Profit Margin (TTM),0.3962
Operating Profit Margin (TTM),0.1816
Net Profit Margin (TTM),0.1522
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.03
EPS Growth (TTM),-0.0273
Revenue Growth (MRQ),-0.005600000000000001
Revenue Growth (TTM),0.0992
Return On Equity (TTM),0.2672
Return On Assets (TTM),0.1061
Return On Investment (TTM),0.1286
Revenue Per Employee (TTM),2785205.0
Total Debt/Total Capital (MRQ),0.4035
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-18 00:00:00
theStreet since,2022-01-21 00:00:00
cfra since,2022-08-18 00:00:00
ford since,2022-01-28 00:00:00
marketEdge opinion since,
