,NFLX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.92,-577.59,Valuation,-0.04660745511522014
Price/Sales (TTM),4.04,6.3,Valuation,0.6412698412698413
Price/Book (MRQ),6.19,7.63,Valuation,0.8112712975098297
"PEG Ratio (TTM, GAAP)",4.63,-24.63,Valuation,-0.18798213560698335
Gross Profit Margin (TTM),0.3962,0.41159999999999997,Profitability,0.9625850340136055
Operating Profit Margin (TTM),0.1816,0.0672,Profitability,2.7023809523809526
Net Profit Margin (TTM),0.1522,0.0336,Profitability,4.529761904761905
Annual Dividend Yield,,0.0015,Dividend,
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.03,-1.1815,Gowth rates,0.025391451544646636
EPS Growth (TTM),-0.0273,0.2345,Gowth rates,-0.1164179104477612
Revenue Growth (MRQ),-0.005600000000000001,0.2214,Gowth rates,-0.025293586269196026
Revenue Growth (TTM),0.0992,0.44170000000000004,Gowth rates,0.22458682363595198
Return On Equity (TTM),0.2672,0.1716,Effectiveness,1.557109557109557
Return On Assets (TTM),0.1061,0.0233,Effectiveness,4.553648068669528
Return On Investment (TTM),0.1286,0.027999999999999997,Effectiveness,4.592857142857143
Revenue Per Employee (TTM),2785205.0,999442.0,Effectiveness,2.7867600120867446
Total Debt/Total Capital (MRQ),0.4035,0.4204,Financial strength,0.9598001902949572
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0014000000000000002,Financial strength,-1.357142857142857
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),,-3.12,Financial strength,
