,TRUE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,18.12,Valuation,
Price/Sales (TTM),1.3,4.52,Valuation,0.2876106194690266
Price/Book (MRQ),1.06,5.02,Valuation,0.2111553784860558
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.8948,0.6097,Profitability,1.4676070198458258
Operating Profit Margin (TTM),-0.6886,0.24480000000000002,Profitability,-2.812908496732026
Net Profit Margin (TTM),-0.6815000000000001,0.1981,Profitability,-3.4401817264008083
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-6.0234000000000005,-0.2712,Gowth rates,22.210176991150444
EPS Growth (TTM),-3.1464999999999996,-0.0227,Gowth rates,138.6123348017621
Revenue Growth (MRQ),-0.0762,0.7634000000000001,Gowth rates,-0.09981660990306523
Revenue Growth (TTM),-0.3166,1.7572999999999999,Gowth rates,-0.1801627496727935
Return On Equity (TTM),-0.4172,0.2407,Effectiveness,-1.7332779393435813
Return On Assets (TTM),-0.34380000000000005,0.16899999999999998,Effectiveness,-2.0343195266272196
Return On Investment (TTM),-0.3815,0.20510000000000003,Effectiveness,-1.8600682593856652
Revenue Per Employee (TTM),398881.0,1707732.0,Effectiveness,0.23357353495747576
Total Debt/Total Capital (MRQ),0.0,0.0821,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),,29.8,Financial strength,
