,TRUE
% Above Low,0.9154000000000001
% Held by Institutions,0.9242
52-Wk Range,['1.30 - 4.09']
Annual Dividend $,
Annual Dividend %,
Ask,2.63
Ask Size,2400.0
B/A Ratio,0.3333333333333333
B/A Size,800x2400
Beta,1.3
Bid,2.46
Bid Size,800.0
Closing Price,2.49
Day Change $,-0.02
Day Change %,-0.008
Day High,2.57
Day Low,2.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.7000000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,219.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.51
Short Interest,0.0285
Today's Open,2.52
Volume,329579.0
Volume 10-day Avg,1367259.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,4.625
Growth 1yr High Est,9.5
Growth 1yr Consensus Est,7.0625
Growth 2yr Low Est,2.3125
Growth 2yr High Est,4.666666666666667
Growth 2yr Consensus Est,3.4895833333333335
Growth 5yr Low Est,1.15625
Growth 5yr High Est,2.3333333333333335
Growth 5yr Consensus Est,1.7447916666666667
Growth 5yr Actual/Est,-1.5007974481658695
Growth 3yr Historic,-2.2280701754385968
Price/Earnings (TTM),
Price/Sales (TTM),1.29547
Price/Book (MRQ),1.05768
Price/Cash Flow (TTM),
5yr Low,1.3
5yr High,14.55
5yr Avg Return,-0.22365
EPS Growth 5yr,
Revenue Growth 5yr,-0.0354391
Dividend Growth 5yr,
Short Int Current Month,2091819.0
Short Int Prev Month,1650050.0
Short Int Pct of Float,0.028548399999999998
Days to Cover,1.81336
Float,73.29223
Shares Outstanding,88.11316
Institutions Holding Shares,158.0
FCF Growth 5yr,-0.9443410673188092
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8948
Operating Profit Margin (TTM),-0.6886
Net Profit Margin (TTM),-0.6815000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-6.0234000000000005
EPS Growth (TTM),-3.1464999999999996
Revenue Growth (MRQ),-0.0762
Revenue Growth (TTM),-0.3166
Return On Equity (TTM),-0.4172
Return On Assets (TTM),-0.34380000000000005
Return On Investment (TTM),-0.3815
Revenue Per Employee (TTM),398881.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-04-02 00:00:00
theStreet since,2021-04-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
