,KD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),0.15,19.35,Valuation,0.007751937984496123
Price/Book (MRQ),1.54,19.03,Valuation,0.08092485549132948
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.14300000000000002,0.44520000000000004,Profitability,0.32120395327942497
Operating Profit Margin (TTM),-0.0772,0.3027,Profitability,-0.2550379914106376
Net Profit Margin (TTM),-0.0858,0.23600000000000002,Profitability,-0.3635593220338983
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.11660000000000001,-3.5570999999999997,Gowth rates,0.03277951139973574
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),-0.025400000000000002,0.16460000000000002,Gowth rates,-0.1543134872417983
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),-0.42369999999999997,0.5459,Effectiveness,-0.77614947792636
Return On Assets (TTM),-0.1265,0.1131,Effectiveness,-1.1184792219274977
Return On Investment (TTM),-0.19640000000000002,0.189,Effectiveness,-1.0391534391534392
Revenue Per Employee (TTM),193922.0,686063.0,Effectiveness,0.2826591726998832
Total Debt/Total Capital (MRQ),0.6468,0.5613,Financial strength,1.1523249599144842
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),-7.0,27.21,Financial strength,-0.25725836089672915
