,KD
% Above Low,0.4098
% Held by Institutions,0.6347999999999999
52-Wk Range,['7.93 - 20.18']
Annual Dividend $,
Annual Dividend %,
Ask,11.1
Ask Size,800.0
B/A Ratio,0.5
B/A Size,400x800
Beta,
Bid,10.98
Bid Size,400.0
Closing Price,11.18
Day Change $,0.16
Day Change %,0.014499999999999999
Day High,11.23
Day Low,10.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.67
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.02
Short Interest,0.0601
Today's Open,10.99
Volume,1644693.0
Volume 10-day Avg,2306842.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,
Growth 2yr High Est,
Growth 2yr Consensus Est,
Growth 5yr Low Est,
Growth 5yr High Est,
Growth 5yr Consensus Est,
Growth 5yr Actual/Est,-0.5581113801452784
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.14528
Price/Book (MRQ),1.53674
Price/Cash Flow (TTM),
5yr Low,7.93
5yr High,52.0
5yr Avg Return,-0.5166499999999999
Short Int Current Month,12183581.0
Short Int Prev Month,11751438.0
Short Int Pct of Float,0.060073800000000004
Days to Cover,3.92015
Float,202.915
Shares Outstanding,226.7901
Institutions Holding Shares,765.0
FCF Growth 5yr,-4.793818646232439
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.14300000000000002
Operating Profit Margin (TTM),-0.0772
Net Profit Margin (TTM),-0.0858
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.11660000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),-0.025400000000000002
Revenue Growth (TTM),
Return On Equity (TTM),-0.42369999999999997
Return On Assets (TTM),-0.1265
Return On Investment (TTM),-0.19640000000000002
Revenue Per Employee (TTM),193922.0
Total Debt/Total Capital (MRQ),0.6468
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.0
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
