,KIDS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",113.72,61.36,Valuation,1.8533246414602347
Price/Sales (TTM),8.69,9.8,Valuation,0.8867346938775509
Price/Book (MRQ),2.63,10.31,Valuation,0.25509214354995147
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7538,0.6196,Profitability,1.2165913492575855
Operating Profit Margin (TTM),-0.19510000000000002,0.047,Profitability,-4.151063829787234
Net Profit Margin (TTM),0.079,0.009300000000000001,Profitability,8.494623655913978
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),52.758,-0.4858,Gowth rates,-108.60024701523261
EPS Growth (TTM),1.245,-0.2029,Gowth rates,-6.136027599802859
Revenue Growth (MRQ),0.061399999999999996,0.1161,Gowth rates,0.52885443583118
Revenue Growth (TTM),0.25989999999999996,0.18300000000000002,Gowth rates,1.4202185792349722
Return On Equity (TTM),0.0304,0.1068,Effectiveness,0.2846441947565543
Return On Assets (TTM),0.025,0.0622,Effectiveness,0.4019292604501608
Return On Investment (TTM),0.0271,0.0732,Effectiveness,0.37021857923497264
Revenue Per Employee (TTM),872993.0,403586.0,Effectiveness,2.1630903946123006
Total Debt/Total Capital (MRQ),0.0025,0.3161,Financial strength,0.007908889591901298
Change in Debt/Total Capital Quarter over Quarter,-0.0038,0.0125,Financial strength,-0.304
Quick Ratio (MRQ),5.24,2.25,Financial strength,2.328888888888889
Interest Coverage (MRQ),,14.99,Financial strength,
