,HSY
% Below High,0.0318
% Held by Institutions,0.7631999999999999
52-Wk Range,['175.08 - 241.45']
Annual Dividend $,4.14
Annual Dividend %,0.0177
Ask,238.37
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,233.57
Bid Size,100.0
Closing Price,233.76
Day Change $,1.59
Day Change %,0.0068000000000000005
Day High,233.93
Day Low,231.94
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.52
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.21
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,47.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.83
Prev Close,232.17
Short Interest,0.0183
Today's Open,233.22
Volume,281755.0
Volume 10-day Avg,1256863.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.18155619596541772
Growth 1yr High Est,0.16503496503496495
Growth 1yr Consensus Est,0.17329558050019134
Growth 2yr Low Est,0.10236346383636752
Growth 2yr High Est,0.1287359699124404
Growth 2yr Consensus Est,0.11554971687440396
Growth 5yr Low Est,0.10390776553926512
Growth 5yr High Est,0.1197387021535321
Growth 5yr Consensus Est,0.11182323384639861
Growth 5yr Actual/Est,0.11440479938653708
Growth 3yr Historic,0.05782988871224165
Price/Earnings (TTM),35.82644
Price/Sales (TTM),4.7498
Price/Book (MRQ),15.54835
Price/Cash Flow (TTM),24.57908
5yr Low,89.1
5yr High,241.45
5yr Avg Return,0.14546666666666666
EPS Growth 5yr,0.104835
Revenue Growth 5yr,0.0381372
Dividend Growth 5yr,0.0725963
Short Int Current Month,2676977.0
Short Int Prev Month,2507318.0
Short Int Pct of Float,0.0182911
Days to Cover,1.95662
Float,146.4827
Shares Outstanding,205.0826
Institutions Holding Shares,1606.0
FCF Growth 5yr,0.13066464170416425
"Price/Earnings (TTM, GAAP)",35.83
"PEG Ratio (TTM, GAAP)",3.38
Gross Profit Margin (TTM),0.43270000000000003
Operating Profit Margin (TTM),0.20190000000000002
Net Profit Margin (TTM),0.1574
Annual Dividend Yield,0.0177
Dividend Change %,0.0812
"Dividend Growth Rate, 3 Years",0.0736
EPS Growth (MRQ),0.2716
EPS Growth (TTM),-0.052300000000000006
Revenue Growth (MRQ),0.1499
Revenue Growth (TTM),0.14300000000000002
Return On Equity (TTM),0.5646
Return On Assets (TTM),0.1567
Return On Investment (TTM),0.2122
Revenue Per Employee (TTM),607285.0
Total Debt/Total Capital (MRQ),0.6132
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.45
Interest Coverage (MRQ),15.74
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2015-10-29 00:00:00
researchTeam since,2022-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
