,WSM
% Above Low,0.1468
% Held by Institutions,1.0053
52-Wk Range,['101.58 - 209.76']
Annual Dividend $,3.12
Annual Dividend %,0.0255
Ask,117.7
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.6
Bid,116.49
Bid Size,300.0
Closing Price,116.49
Day Change $,-5.93
Day Change %,-0.0484
Day High,119.34
Day Low,116.2
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",16.5
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.545
Last (size),21.0
Last (time),7:00p ET 11/28/22
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.42
Prev Close,122.42
Short Interest,0.1612
Today's Open,117.48
Volume,1536662.0
Volume 10-day Avg,1587625.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.12857142857142856
Growth 1yr High Est,0.1578947368421053
Growth 1yr Consensus Est,0.14323308270676693
Growth 2yr Low Est,-0.08444846292947561
Growth 2yr High Est,0.09990368483191447
Growth 2yr Consensus Est,0.007727610951219432
Growth 5yr Low Est,0.46535152611101976
Growth 5yr High Est,0.561931009082624
Growth 5yr Consensus Est,0.5136412675968218
Growth 5yr Actual/Est,0.37537362315042855
Growth 3yr Historic,0.3776169275213925
Price/Earnings (TTM),7.42127
Price/Sales (TTM),0.93413
Price/Book (MRQ),5.76657
Price/Cash Flow (TTM),5.88946
5yr Low,26.01
5yr High,223.32
5yr Avg Return,0.21141666666666667
EPS Growth 5yr,0.3400624
Revenue Growth 5yr,0.1015649
Dividend Growth 5yr,0.1063499
Short Int Current Month,10599327.0
Short Int Prev Month,10771066.0
Short Int Pct of Float,0.1612365
Days to Cover,10.47402
Float,65.75378
Shares Outstanding,66.556
Institutions Holding Shares,795.0
FCF Growth 5yr,0.22389738543154
"Price/Earnings (TTM, GAAP)",7.42
"PEG Ratio (TTM, GAAP)",1.51
Gross Profit Margin (TTM),0.4349
Operating Profit Margin (TTM),0.17809999999999998
Net Profit Margin (TTM),0.1348
Annual Dividend Yield,0.0255
Dividend Change %,0.2284
"Dividend Growth Rate, 3 Years",0.1294
EPS Growth (MRQ),-0.0371
EPS Growth (TTM),0.24
Revenue Growth (MRQ),0.0257
Revenue Growth (TTM),0.0852
Return On Equity (TTM),0.7955
Return On Assets (TTM),0.25920000000000004
Return On Investment (TTM),0.42560000000000003
Revenue Per Employee (TTM),714948.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.2
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2020-05-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-18 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
