,WSM
Price/Earnings (TTM),7.42127
Price/Sales (TTM),0.93413
Price/Book (MRQ),5.76657
Price/Cash Flow (TTM),5.88946
5yr Low,26.01
5yr High,223.32
5yr Avg Return,0.21141666666666667
EPS Growth 5yr,0.3400624
Revenue Growth 5yr,0.1015649
Dividend Growth 5yr,0.1063499
Short Int Current Month,10599327.0
Short Int Prev Month,10771066.0
Short Int Pct of Float,0.1612365
Days to Cover,10.47402
Float,65.75378
Shares Outstanding,66.556
Institutions Holding Shares,795.0
% Held by Institutions,1.005296
FCF Growth 5yr,0.22389738543154
