,NWBI
% Below High,0.0078000000000000005
% Held by Institutions,0.6658
52-Wk Range,['12.04 - 15.35']
Annual Dividend $,0.8
Annual Dividend %,0.0525
Ask,15.77
Ask Size,100.0
Ask close,18.74
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,14.66
Bid Size,100.0
Bid close,11.65
Change Since Close,0.00| |(0.00%)
Closing Price,15.23
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.01
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.223
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,15.23
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.01
Prev Close,15.23
Short Interest,0.0701
Today's Open,
Volume,32.0
Volume 10-day Avg,589584.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.05882352941176472
Growth 1yr High Est,0.0277777777777779
Growth 1yr Consensus Est,0.04330065359477131
Growth 2yr Low Est,0.04793028322440085
Growth 2yr High Est,0.05442942942942941
Growth 2yr Consensus Est,0.05117985632691513
Growth 5yr Low Est,0.014531179348049483
Growth 5yr High Est,0.024921136733063315
Growth 5yr Consensus Est,0.0197261580405564
Growth 5yr Actual/Est,0.09729475596519269
Growth 3yr Historic,0.07645781637717122
Price/Earnings (TTM),15.00507
Price/Sales (TTM),3.7898
Price/Book (MRQ),1.32418
Price/Cash Flow (TTM),13.87298
5yr Low,8.52
5yr High,18.81
5yr Avg Return,-0.007983333333333335
EPS Growth 5yr,0.19751439999999998
Revenue Growth 5yr,0.0390046
Dividend Growth 5yr,0.056562400000000006
Short Int Current Month,8800322.0
Short Int Prev Month,8836906.0
Short Int Pct of Float,0.0701384
Days to Cover,13.21568
Float,125.7317
Shares Outstanding,126.9884
Institutions Holding Shares,281.0
FCF Growth 5yr,-0.13903743315508021
"Price/Earnings (TTM, GAAP)",15.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.32880000000000004
Net Profit Margin (TTM),0.2529
Annual Dividend Yield,0.0525
Dividend Change %,0.0395
"Dividend Growth Rate, 3 Years",0.0513
EPS Growth (MRQ),0.1158
EPS Growth (TTM),-0.1907
Revenue Growth (MRQ),0.1201
Revenue Growth (TTM),-0.008100000000000001
Return On Equity (TTM),0.0851
Return On Assets (TTM),0.0091
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-07 00:00:00
theStreet since,2020-11-11 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
