,KDNY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),22.4,45.03,Valuation,0.49744614701310236
Price/Book (MRQ),2.68,12.61,Valuation,0.2125297383029342
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.9839,-4.7459,Profitability,0.4180239785920479
Net Profit Margin (TTM),-2.0713999999999997,-4.5467,Profitability,0.45558317021136197
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.35979999999999995,-0.0014000000000000002,Gowth rates,256.99999999999994
EPS Growth (TTM),0.7116,0.027200000000000002,Gowth rates,26.16176470588235
Revenue Growth (MRQ),4.9833,1.3963999999999999,Gowth rates,3.568676596963621
Revenue Growth (TTM),3.5731,0.9747,Gowth rates,3.665845901302965
Return On Equity (TTM),-0.3164,0.1967,Effectiveness,-1.6085409252669038
Return On Assets (TTM),-0.24190000000000003,0.0016,Effectiveness,-151.1875
Return On Investment (TTM),-0.2602,0.0219,Effectiveness,-11.881278538812785
Revenue Per Employee (TTM),411971.0,1476201.0,Effectiveness,0.2790751394965862
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
