,KDNY
% Below High,0.16510000000000002
% Held by Institutions,0.9661
52-Wk Range,['11.16 - 23.86']
Annual Dividend $,
Annual Dividend %,
Ask,20.15
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.0
Bid,19.24
Bid Size,100.0
Closing Price,19.92
Day Change $,-1.5
Day Change %,-0.07
Day High,21.47
Day Low,19.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.83
Ex-dividend Date,No dividend
Historical Volatility,0.584
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.42
Short Interest,0.032400000000000005
Today's Open,21.35
Volume,733454.0
Volume 10-day Avg,567721.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,1.7941176470588234
Growth 1yr High Est,1.8947368421052633
Growth 1yr Consensus Est,1.8444272445820433
Growth 2yr Low Est,0.9531991744066046
Growth 2yr High Est,0.9019138755980862
Growth 2yr Consensus Est,0.9275565250023454
Growth 5yr Low Est,0.4765995872033023
Growth 5yr High Est,0.4509569377990431
Growth 5yr Consensus Est,0.4637782625011727
Growth 5yr Actual/Est,-0.0349348578087329
Growth 3yr Historic,-0.10790009395552774
Price/Earnings (TTM),
Price/Sales (TTM),22.40374
Price/Book (MRQ),2.67855
Price/Cash Flow (TTM),
5yr Low,4.51
5yr High,50.0
5yr Avg Return,0.08240000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0036978
Dividend Growth 5yr,
Short Int Current Month,2015481.0
Short Int Prev Month,2483796.0
Short Int Pct of Float,0.0323795
Days to Cover,3.13653
Float,62.3085
Shares Outstanding,63.94062
Institutions Holding Shares,204.0
FCF Growth 5yr,0.3093480754045306
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.9839
Net Profit Margin (TTM),-2.0713999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.35979999999999995
EPS Growth (TTM),0.7116
Revenue Growth (MRQ),4.9833
Revenue Growth (TTM),3.5731
Return On Equity (TTM),-0.3164
Return On Assets (TTM),-0.24190000000000003
Return On Investment (TTM),-0.2602
Revenue Per Employee (TTM),411971.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-04-11 00:00:00
researchTeam since,2022-04-11 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
