,KZR
% Above Low,0.7329000000000001
% Held by Institutions,0.8390000000000001
52-Wk Range,['4.31 - 18.55']
Annual Dividend $,
Annual Dividend %,
Ask,10.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,6.25
Bid Size,100.0
Closing Price,7.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.02
Ex-dividend Date,No dividend
Historical Volatility,0.948
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,510.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.46
Short Interest,0.122
Today's Open,
Volume,173765.0
Volume 10-day Avg,652856.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.04504504504504503
Growth 1yr High Est,-0.04761904761904767
Growth 1yr Consensus Est,-0.04633204633204635
Growth 2yr Low Est,0.09068502464728878
Growth 2yr High Est,-0.05880952380952381
Growth 2yr Consensus Est,0.015937750418882485
Growth 5yr Low Est,-0.04626743532033464
Growth 5yr High Est,-0.11839561483895056
Growth 5yr Consensus Est,-0.0823315250796426
Growth 5yr Actual/Est,-0.08041277944023939
Growth 3yr Historic,-0.09723970251716246
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.80112
Price/Cash Flow (TTM),
5yr Low,2.18
5yr High,36.33
5yr Avg Return,0.23068000000000002
Short Int Current Month,6600802.0
Short Int Prev Month,7120648.0
Short Int Pct of Float,0.1220375
Days to Cover,9.9985
Float,54.05599
Shares Outstanding,68.37806
Institutions Holding Shares,179.0
FCF Growth 5yr,0.307831054326978
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0178
EPS Growth (TTM),-0.0168
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.31920000000000004
Return On Assets (TTM),-0.295
Return On Investment (TTM),-0.3074
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0334
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
