,COGT
% Below High,0.3691
% Held by Institutions,1.0803
52-Wk Range,['3.79 - 18.07']
Annual Dividend $,
Annual Dividend %,
Ask,15.3
Ask Size,3400.0
B/A Ratio,0.29411764705882354
B/A Size,1000x3400
Beta,1.7
Bid,11.45
Bid Size,1000.0
Closing Price,11.4
Day Change $,0.53
Day Change %,0.048799999999999996
Day High,11.41
Day Low,10.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.49
Ex-dividend Date,No dividend
Historical Volatility,0.866
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,794.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.87
Short Interest,0.07150000000000001
Today's Open,10.75
Volume,1844190.0
Volume 10-day Avg,799369.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.050000000000000044
Growth 2yr High Est,-0.255813953488372
Growth 2yr Consensus Est,-0.10290697674418597
Growth 5yr Low Est,0.050000000000000044
Growth 5yr High Est,-0.255813953488372
Growth 5yr Consensus Est,-0.10290697674418597
Growth 5yr Actual/Est,0.5349647311601274
Growth 3yr Historic,0.500666372318158
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.55349
Price/Cash Flow (TTM),
5yr Low,1.18
5yr High,70.64
5yr Avg Return,0.28321999999999997
Short Int Current Month,4768703.0
Short Int Prev Month,4683982.0
Short Int Pct of Float,0.0715146
Days to Cover,6.13356
Float,69.8883
Shares Outstanding,69.89343
Institutions Holding Shares,172.0
FCF Growth 5yr,0.36818937481228436
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2874
EPS Growth (TTM),0.6587999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.7473000000000001
Return On Assets (TTM),-0.459
Return On Investment (TTM),-0.4955
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
