,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,70.64,20.32,14.88,13.24,18.07,,,,,
low,14.38,1.9,1.18,5.83,3.79,,,,,
change,-0.6255,-0.8333,2.7939,-0.2539,0.33490000000000003,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,219684.0,191047.0,325562.0,140568.0,Balance Sheet
Short Term Investments,,,,,,,,,148526.0,Balance Sheet
Cash and Short Term Invs,,,,,,219684.0,191047.0,325562.0,289094.0,Balance Sheet
Prepaid Expenses,,,,,,2949.0,3686.0,3858.0,6068.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,,1255.0,1255.0,Balance Sheet
Total Current Assets,,,,,,222633.0,194733.0,330675.0,296417.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,4477.0,5275.0,30482.0,30375.0,Balance Sheet
Other Long Term Assets,,,,,,3727.0,5606.0,4895.0,4768.0,Balance Sheet
Total Assets,,,,,,232092.0,206869.0,366052.0,331560.0,Balance Sheet
Accounts Payable,,,,,,3483.0,4015.0,3492.0,4093.0,Balance Sheet
Accrued Expenses,,,,,,10299.0,10552.0,19545.0,15201.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,3295.0,3312.0,4621.0,4257.0,Balance Sheet
Total Current Liabilities,,,,,,17077.0,17879.0,27658.0,23551.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,831.0,1127.0,19009.0,18067.0,Balance Sheet
Total Liabilities,,,,,,17908.0,19006.0,46667.0,41618.0,Balance Sheet
Redeemable Preferred Stock,,,,,,85400.0,78400.0,71400.0,65830.0,Balance Sheet
Common Stock,,,,,,44.0,46.0,66.0,70.0,Balance Sheet
Additional Paid-In Capital,,,,,,399713.0,411024.0,584453.0,595801.0,Balance Sheet
