,TRMB
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.0038022813688212143
Growth 1yr High Est,-0.036101083032491044
Growth 1yr Consensus Est,-0.01995168220065613
Growth 2yr Low Est,0.0038240501552839756
Growth 2yr High Est,0.07745507646128258
Growth 2yr Consensus Est,0.04063956330828328
Growth 5yr Low Est,0.09615286277397705
Growth 5yr High Est,0.14025038087023523
Growth 5yr Consensus Est,0.11820162182210614
Growth 5yr Actual/Est,0.10100208783206727
Growth 3yr Historic,0.0783570317957501
