,TRMB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.74,21.62,Valuation,1.4218316373728028
Price/Sales (TTM),3.85,5.43,Valuation,0.70902394106814
Price/Book (MRQ),3.75,5.49,Valuation,0.6830601092896175
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.5644,0.33659999999999995,Profitability,1.6767676767676771
Operating Profit Margin (TTM),0.1746,-0.0824,Profitability,-2.1189320388349513
Net Profit Margin (TTM),0.128,-0.1173,Profitability,-1.091219096334186
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.48560000000000003,0.1058,Gowth rates,-4.589792060491494
EPS Growth (TTM),-0.13240000000000002,-0.0147,Gowth rates,9.006802721088437
Revenue Growth (MRQ),-0.059800000000000006,0.1655,Gowth rates,-0.3613293051359517
Revenue Growth (TTM),0.0514,0.1855,Gowth rates,0.27708894878706203
Return On Equity (TTM),0.1241,0.23850000000000002,Effectiveness,0.520335429769392
Return On Assets (TTM),0.0681,0.0752,Effectiveness,0.9055851063829786
Return On Investment (TTM),0.0834,0.1041,Effectiveness,0.8011527377521614
Revenue Per Employee (TTM),313955.0,449465.0,Effectiveness,0.6985082264469981
Total Debt/Total Capital (MRQ),0.2923,0.3575,Financial strength,0.8176223776223777
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0362,Financial strength,0.052486187845303865
Quick Ratio (MRQ),0.72,1.53,Financial strength,0.47058823529411764
Interest Coverage (MRQ),15.88,15.46,Financial strength,1.0271668822768434
