,TRMB
% Above Low,0.1494
% Held by Institutions,0.9440999999999999
52-Wk Range,['49.99 - 89.30']
Annual Dividend $,
Annual Dividend %,
Ask,57.97
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,1.6
Bid,57.08
Bid Size,1800.0
Closing Price,57.46
Day Change $,-1.08
Day Change %,-0.0184
Day High,58.3
Day Low,57.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.9
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,14.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.74
Prev Close,58.54
Short Interest,0.0121
Today's Open,57.76
Volume,869681.0
Volume 10-day Avg,923115.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.0038022813688212143
Growth 1yr High Est,-0.036101083032491044
Growth 1yr Consensus Est,-0.01995168220065613
Growth 2yr Low Est,0.0038240501552839756
Growth 2yr High Est,0.07745507646128258
Growth 2yr Consensus Est,0.04063956330828328
Growth 5yr Low Est,0.09615286277397705
Growth 5yr High Est,0.14025038087023523
Growth 5yr Consensus Est,0.11820162182210614
Growth 5yr Actual/Est,0.10100208783206727
Growth 3yr Historic,0.0783570317957501
Price/Earnings (TTM),30.73692
Price/Sales (TTM),3.85429
Price/Book (MRQ),3.75467
Price/Cash Flow (TTM),22.16706
5yr Low,20.01
5yr High,96.49
5yr Avg Return,0.10098333333333333
EPS Growth 5yr,0.3001743
Revenue Growth 5yr,0.0914785
Dividend Growth 5yr,
Short Int Current Month,2977363.0
Short Int Prev Month,2678684.0
Short Int Pct of Float,0.012129099999999999
Days to Cover,1.62337
Float,245.7136
Shares Outstanding,246.6247
Institutions Holding Shares,898.0
FCF Growth 5yr,-0.039035373060815136
"Price/Earnings (TTM, GAAP)",30.74
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5644
Operating Profit Margin (TTM),0.1746
Net Profit Margin (TTM),0.128
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.48560000000000003
EPS Growth (TTM),-0.13240000000000002
Revenue Growth (MRQ),-0.059800000000000006
Revenue Growth (TTM),0.0514
Return On Equity (TTM),0.1241
Return On Assets (TTM),0.0681
Return On Investment (TTM),0.0834
Revenue Per Employee (TTM),313955.0
Total Debt/Total Capital (MRQ),0.2923
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),15.88
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
theStreet since,2022-10-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2021-08-06 00:00:00
marketEdge opinion since,
