,FORG
% Below High,0.2656
% Held by Institutions,0.5827
52-Wk Range,['11.94 - 29.44']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,14.93
Bid Size,
Closing Price,21.62
Day Change $,-0.05
Day Change %,-0.0023
Day High,21.76
Day Low,21.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.868
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.67
Short Interest,0.1518
Today's Open,21.58
Volume,588046.0
Volume 10-day Avg,1987939.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.48958333333333337
Growth 1yr High Est,-0.627906976744186
Growth 1yr Consensus Est,-0.5587451550387597
Growth 2yr Low Est,-0.5305059523809523
Growth 2yr High Est,-0.704578488372093
Growth 2yr Consensus Est,-0.6175422203765226
Growth 5yr Low Est,-0.5305059523809523
Growth 5yr High Est,-0.704578488372093
Growth 5yr Consensus Est,-0.6175422203765226
Growth 5yr Actual/Est,-0.5894194756554307
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.1044
Price/Book (MRQ),5.91043
Price/Cash Flow (TTM),
5yr Low,11.94
5yr High,48.88
5yr Avg Return,-0.2108
Short Int Current Month,6292948.0
Short Int Prev Month,5134104.0
Short Int Pct of Float,0.1518101
Days to Cover,3.96009
Float,7.84666
Shares Outstanding,47.66637
Institutions Holding Shares,125.0
FCF Growth 5yr,1.1929571884602457
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8140000000000001
Operating Profit Margin (TTM),-0.30260000000000004
Net Profit Margin (TTM),-0.3078
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5147
EPS Growth (TTM),-0.1054
Revenue Growth (MRQ),0.2211
Revenue Growth (TTM),0.1935
Return On Equity (TTM),-0.18969999999999998
Return On Assets (TTM),-0.1343
Return On Investment (TTM),-0.1638
Revenue Per Employee (TTM),256863.0
Total Debt/Total Capital (MRQ),0.1127
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
researchTeam since,
marketEdge opinion since,
