,FORG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.1,9.39,Valuation,0.5431309904153354
Price/Book (MRQ),5.91,12.63,Valuation,0.4679334916864608
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8140000000000001,0.7206,Profitability,1.1296142103802387
Operating Profit Margin (TTM),-0.30260000000000004,0.2172,Profitability,-1.3931860036832413
Net Profit Margin (TTM),-0.3078,0.1553,Profitability,-1.981970379909852
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5147,-0.0752,Gowth rates,-6.844414893617022
EPS Growth (TTM),-0.1054,-0.2824,Gowth rates,0.37322946175637395
Revenue Growth (MRQ),0.2211,0.15560000000000002,Gowth rates,1.4209511568123392
Revenue Growth (TTM),0.1935,0.1906,Gowth rates,1.0152151101783842
Return On Equity (TTM),-0.18969999999999998,0.2189,Effectiveness,-0.8666057560529921
Return On Assets (TTM),-0.1343,0.10740000000000001,Effectiveness,-1.2504655493482308
Return On Investment (TTM),-0.1638,0.1387,Effectiveness,-1.1809661139149243
Revenue Per Employee (TTM),256863.0,667721.0,Effectiveness,0.38468611890295495
Total Debt/Total Capital (MRQ),0.1127,0.39659999999999995,Financial strength,0.28416540595057993
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0004,Financial strength,1.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
