,PG
% Below High,0.1119
% Held by Institutions,0.6291
52-Wk Range,['122.18 - 165.35']
Annual Dividend $,3.65
Annual Dividend %,0.024900000000000002
Ask,146.86
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.4
Bid,146.84
Bid Size,400.0
Day Change $,0.12
Day Change %,0.0008
Day High,147.34
Day Low,146.4
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",5.77
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.22399999999999998
Last (size),300.0
Last (time),10:40a ET 11/28/22
Market Cap,348.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.43
Prev Close,146.72
Price,146.84
Short Interest,0.0060999999999999995
Today's Open,146.79
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,0.005110732538330609
Growth 1yr Consensus Est,0.0025553662691653045
Growth 2yr Low Est,0.027097902097902193
Growth 2yr High Est,0.044928247625097506
Growth 2yr Consensus Est,0.03601307486149985
Growth 5yr Low Est,0.07641475907604944
Growth 5yr High Est,0.05501678925995107
Growth 5yr Consensus Est,0.06571577416800026
Growth 5yr Actual/Est,0.05149521095170689
Growth 3yr Historic,0.032992629196113066
Price/Earnings (TTM),25.43363
Price/Sales (TTM),4.32113
Price/Book (MRQ),8.04056
Price/Cash Flow (TTM),20.32398
5yr Low,70.73
5yr High,165.35
5yr Avg Return,0.09971666666666668
EPS Growth 5yr,0.0949552
Revenue Growth 5yr,0.0427031
Dividend Growth 5yr,0.054784
Short Int Current Month,14378327.0
Short Int Prev Month,13907989.0
Short Int Pct of Float,0.0060758
Days to Cover,2.14569
Float,2366.793
Shares Outstanding,2369.7
Institutions Holding Shares,3944.0
FCF Growth 5yr,-0.05619929594539549
"Price/Earnings (TTM, GAAP)",25.43
"PEG Ratio (TTM, GAAP)",5.31
Gross Profit Margin (TTM),0.47009999999999996
Operating Profit Margin (TTM),0.22030000000000002
Net Profit Margin (TTM),0.1818
Annual Dividend Yield,0.024900000000000002
Dividend Change %,0.0866
"Dividend Growth Rate, 3 Years",0.06730000000000001
EPS Growth (MRQ),0.3007
EPS Growth (TTM),0.0542
Revenue Growth (MRQ),0.0562
Revenue Growth (TTM),0.0431
Return On Equity (TTM),0.3229
Return On Assets (TTM),0.12400000000000001
Return On Investment (TTM),0.1804
Revenue Per Employee (TTM),759066.0
Total Debt/Total Capital (MRQ),0.4267
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),60.98
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-12 00:00:00
theStreet since,2020-04-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-04-18 00:00:00
ford since,2021-02-26 00:00:00
marketEdge opinion since,
