,SRE
% Below High,0.08039999999999999
% Held by Institutions,0.8733
52-Wk Range,['119.56 - 176.47']
Annual Dividend $,4.58
Annual Dividend %,0.027999999999999997
Ask,162.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.7
Bid,162.26
Bid Size,300.0
Day Change $,-1.17
Day Change %,-0.0072
Day High,163.07
Day Low,161.16
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",7.12
Ex-dividend,2022-12-21 00:00:00
Ex-dividend Date,12/21/22
Historical Volatility,0.23800000000000002
Last (size),100.0
Last (time),3:14p ET 11/28/22
Market Cap,51.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.95
Prev Close,163.46
Price,162.29
Short Interest,0.0086
Today's Open,162.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.07701863354037264
Growth 1yr High Est,0.0718562874251496
Growth 1yr Consensus Est,0.07443746048276112
Growth 2yr Low Est,0.051773445951270536
Growth 2yr High Est,0.05939183086341282
Growth 2yr Consensus Est,0.05558263840734168
Growth 5yr Low Est,0.054717650836200615
Growth 5yr High Est,0.06309882741321537
Growth 5yr Consensus Est,0.058908239124707995
Growth 5yr Actual/Est,0.0774974367077394
Growth 3yr Historic,0.05854474555226158
Price/Earnings (TTM),22.9499
Price/Sales (TTM),3.46513
Price/Book (MRQ),1.96345
Price/Cash Flow (TTM),16.66048
5yr Low,88.0
5yr High,176.47
5yr Avg Return,0.06893333333333333
EPS Growth 5yr,-0.059876500000000006
Revenue Growth 5yr,0.0473682
Dividend Growth 5yr,0.0794264
Short Int Current Month,2710644.0
Short Int Prev Month,2588117.0
Short Int Pct of Float,0.008629900000000001
Days to Cover,2.06455
Float,314.1144
Shares Outstanding,314.3334
Institutions Holding Shares,1309.0
FCF Growth 5yr,0.3714685650786782
"Price/Earnings (TTM, GAAP)",22.95
"PEG Ratio (TTM, GAAP)",5.93
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.19090000000000001
Net Profit Margin (TTM),0.0776
Annual Dividend Yield,0.027999999999999997
Dividend Change %,0.0591
"Dividend Growth Rate, 3 Years",0.07400000000000001
EPS Growth (MRQ),-0.133
EPS Growth (TTM),0.9765
Revenue Growth (MRQ),0.0197
Revenue Growth (TTM),0.217
Return On Equity (TTM),0.0908
Return On Assets (TTM),0.015700000000000002
Return On Investment (TTM),0.0187
Revenue Per Employee (TTM),963483.0
Total Debt/Total Capital (MRQ),0.4758
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.51
Interest Coverage (MRQ),2.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-11 00:00:00
theStreet since,2022-10-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-04 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
