,OSCR
% Above Low,0.22219999999999998
% Held by Institutions,0.8261
52-Wk Range,['2.34 - 11.07']
Annual Dividend $,
Annual Dividend %,
Ask,2.86
Ask Size,600.0
B/A Ratio,1.0
B/A Size,600x600
Beta,
Bid,2.85
Bid Size,600.0
Day Change $,-0.01
Day Change %,-0.0034999999999999996
Day High,2.88
Day Low,2.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.74
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),5.0
Last (time),9:41a ET 11/28/22
Market Cap,614.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.87
Price,2.86
Short Interest,0.0461
Today's Open,2.83
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.49283667621776506
Growth 2yr High Est,-0.4147286821705426
Growth 2yr Consensus Est,-0.4537826791941538
Growth 5yr Low Est,-0.49283667621776506
Growth 5yr High Est,-0.4147286821705426
Growth 5yr Consensus Est,-0.4537826791941538
Growth 5yr Actual/Est,-0.26190948996655516
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.1779
Price/Book (MRQ),0.56878
Price/Cash Flow (TTM),
5yr Low,2.34
5yr High,37.0
5yr Avg Return,-0.7138
Short Int Current Month,8033126.0
Short Int Prev Month,8274238.0
Short Int Pct of Float,0.0460937
Days to Cover,3.30461
Float,177.4581
Shares Outstanding,214.7555
Institutions Holding Shares,168.0
FCF Growth 5yr,-1.3446224319032958
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.16280000000000003
Net Profit Margin (TTM),-0.1678
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7077
EPS Growth (TTM),0.006999999999999999
Revenue Growth (MRQ),-0.0382
Revenue Growth (TTM),1.3092
Return On Equity (TTM),-0.4399
Return On Assets (TTM),-0.15539999999999998
Return On Investment (TTM),
Revenue Per Employee (TTM),1321854.0
Total Debt/Total Capital (MRQ),0.2154
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-31.4
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-11 00:00:00
theStreet since,2022-05-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
