,OSCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),0.18,2.33,Valuation,0.07725321888412016
Price/Book (MRQ),0.57,3.82,Valuation,0.14921465968586387
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),-0.16280000000000003,0.1298,Profitability,-1.2542372881355934
Net Profit Margin (TTM),-0.1678,0.10460000000000001,Profitability,-1.604206500956023
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-0.7077,-0.0779,Gowth rates,9.084724005134788
EPS Growth (TTM),0.006999999999999999,-0.005200000000000001,Gowth rates,-1.3461538461538458
Revenue Growth (MRQ),-0.0382,0.0897,Gowth rates,-0.42586399108138234
Revenue Growth (TTM),1.3092,0.042800000000000005,Gowth rates,30.588785046728965
Return On Equity (TTM),-0.4399,0.3775,Effectiveness,-1.1652980132450332
Return On Assets (TTM),-0.15539999999999998,0.031200000000000002,Effectiveness,-4.98076923076923
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1321854.0,1261907.0,Effectiveness,1.047505085557018
Total Debt/Total Capital (MRQ),0.2154,0.4026,Financial strength,0.5350223546944859
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-31.4,10.79,Financial strength,-2.9101019462465247
