,FLO
% Below High,0.0027
% Held by Institutions,0.6867
52-Wk Range,['24.15 - 29.84']
Annual Dividend $,0.88
Annual Dividend %,0.0296
Ask,47.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,28.0
Bid Size,200.0
Closing Price,29.76
Day Change $,0.17
Day Change %,0.005699999999999999
Day High,29.84
Day Low,29.64
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.24300000000000002
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.97
Prev Close,29.59
Short Interest,0.0286
Today's Open,29.77
Volume,682866.0
Volume 10-day Avg,1679497.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.032258064516129004
Growth 1yr High Est,0.0078125
Growth 1yr Consensus Est,0.020035282258064502
Growth 2yr Low Est,0.020035282258064502
Growth 2yr High Est,0.04654190891472865
Growth 2yr Consensus Est,0.033288595586396574
Growth 5yr Low Est,0.09187808676481715
Growth 5yr High Est,0.10316786167385916
Growth 5yr Consensus Est,0.09752297421933816
Growth 5yr Actual/Est,0.0995234458364114
Growth 3yr Historic,0.07778705470737915
Price/Earnings (TTM),28.96886
Price/Sales (TTM),1.33499
Price/Book (MRQ),4.37934
Price/Cash Flow (TTM),17.44219
5yr Low,17.42
5yr High,29.73
5yr Avg Return,0.07881666666666667
EPS Growth 5yr,0.04448680000000001
Revenue Growth 5yr,0.0197726
Dividend Growth 5yr,0.0583751
Short Int Current Month,5590565.0
Short Int Prev Month,5091900.0
Short Int Pct of Float,0.028648600000000003
Days to Cover,3.33192
Float,195.3815
Shares Outstanding,211.1331
Institutions Holding Shares,495.0
FCF Growth 5yr,0.1454072767134349
"Price/Earnings (TTM, GAAP)",28.97
"PEG Ratio (TTM, GAAP)",8.91
Gross Profit Margin (TTM),0.4818
Operating Profit Margin (TTM),0.0622
Net Profit Margin (TTM),0.0466
Annual Dividend Yield,0.0296
Dividend Change %,0.0506
"Dividend Growth Rate, 3 Years",0.0534
EPS Growth (MRQ),-0.2451
EPS Growth (TTM),-0.018000000000000002
Revenue Growth (MRQ),0.0258
Revenue Growth (TTM),0.077
Return On Equity (TTM),0.1539
Return On Assets (TTM),0.06570000000000001
Return On Investment (TTM),0.0792
Revenue Per Employee (TTM),528836.0
Total Debt/Total Capital (MRQ),0.38810000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),65.21
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2018-02-08 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
