,RUTH
% Above Low,0.1524
% Held by Institutions,0.8753
52-Wk Range,['15.16 - 24.93']
Annual Dividend $,0.56
Annual Dividend %,0.0308
Ask,17.48
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,17.45
Bid Size,200.0
Day Change $,-0.71
Day Change %,-0.0391
Day High,18.18
Day Low,17.37
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.18
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.466
Last (size),100.0
Last (time),1:23p ET 11/28/22
Market Cap,580.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.38
Prev Close,18.18
Price,17.47
Short Interest,0.0421
Today's Open,18.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1250000000000001
Growth 1yr High Est,-0.096551724137931
Growth 1yr Consensus Est,-0.11077586206896556
Growth 2yr Low Est,-0.10031512605042014
Growth 2yr High Est,-0.013924717030797673
Growth 2yr Consensus Est,-0.05711992154060891
Growth 5yr Low Est,-0.05015756302521007
Growth 5yr High Est,-0.0069623585153988365
Growth 5yr Consensus Est,-0.028559960770304454
Growth 5yr Actual/Est,-1.3150763914448125
Growth 3yr Historic,-1.3361704085388295
Price/Earnings (TTM),15.38032
Price/Sales (TTM),1.22125
Price/Book (MRQ),4.34202
Price/Cash Flow (TTM),9.91727
5yr Low,2.32
5yr High,33.95
5yr Avg Return,-0.02668333333333333
EPS Growth 5yr,0.0506912
Revenue Growth 5yr,0.0214352
Dividend Growth 5yr,
Short Int Current Month,1194094.0
Short Int Prev Month,1573377.0
Short Int Pct of Float,0.04213720000000001
Days to Cover,2.54862
Float,31.30964
Shares Outstanding,33.20214
Institutions Holding Shares,222.0
FCF Growth 5yr,-2.5125438487447607
"Price/Earnings (TTM, GAAP)",15.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.26920000000000005
Operating Profit Margin (TTM),0.09029999999999999
Net Profit Margin (TTM),0.081
Annual Dividend Yield,0.0308
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4615
EPS Growth (TTM),0.36810000000000004
Revenue Growth (MRQ),-0.12369999999999999
Revenue Growth (TTM),0.3015
Return On Equity (TTM),0.2958
Return On Assets (TTM),0.0796
Return On Investment (TTM),0.10189999999999999
Revenue Per Employee (TTM),109181.0
Total Debt/Total Capital (MRQ),0.179
Change in Debt/Total Capital Quarter over Quarter,-0.005699999999999999
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),15.51
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-09-17 00:00:00
cfra since,
marketEdge opinion since,
