,ARCT
% Above Low,0.40850000000000003
% Held by Institutions,0.7601
52-Wk Range,['11.70 - 48.75']
Annual Dividend $,
Annual Dividend %,
Ask,17.77
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.5
Bid,16.4
Bid Size,200.0
Closing Price,16.48
Day Change $,0.05
Day Change %,0.003
Day High,16.6
Day Low,16.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.56
Ex-dividend Date,No dividend
Historical Volatility,1.075
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,436.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Short Interest,0.11410000000000001
Today's Open,16.29
Volume,108473.0
Volume 10-day Avg,659476.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.2214369846878681
Growth 1yr High Est,-1.263768115942029
Growth 1yr Consensus Est,-0.7426025503149486
Growth 2yr Low Est,0.1154539736167316
Growth 2yr High Est,-1.1730928491798056
Growth 2yr Consensus Est,-0.528819437781537
Growth 5yr Low Est,0.1154539736167316
Growth 5yr High Est,-1.1730928491798056
Growth 5yr Consensus Est,-0.5288194377815371
Growth 5yr Actual/Est,0.5684457709654946
Growth 3yr Historic,0.45786112020962993
Price/Earnings (TTM),
Price/Sales (TTM),8.47772
Price/Book (MRQ),2.99717
Price/Cash Flow (TTM),
5yr Low,4.11
5yr High,129.71
5yr Avg Return,0.5266166666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.095211
Dividend Growth 5yr,
Short Int Current Month,2603248.0
Short Int Prev Month,2885424.0
Short Int Pct of Float,0.1140738
Days to Cover,2.39359
Float,22.82073
Shares Outstanding,26.49287
Institutions Holding Shares,172.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.8528
Net Profit Margin (TTM),-2.8478
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6329
EPS Growth (TTM),0.2615
Revenue Growth (MRQ),-0.5065999999999999
Revenue Growth (TTM),4.8503
Return On Equity (TTM),-0.7245999999999999
Return On Assets (TTM),-0.40280000000000005
Return On Investment (TTM),-0.5492
Revenue Per Employee (TTM),290960.0
Total Debt/Total Capital (MRQ),0.2908
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-09-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2019-06-27 00:00:00
newConstructs since,
marketEdge opinion since,
